subject,strategy,condition,l_length,pres_rate,ncr,total_irt,irt_h1,irt_h2,irt_delta,ncr_bin
A3EVXSWHYA1PTT,rec,20-1,20.0,1000.0,19,71647.71666666982,23279.09888888556,46057.21444444963,22778.11555556407,9
A3EVXSWHYA1PTT,rec,20-1,20.0,1000.0,20,63417.45000003278,24605.92500001192,38811.52500002086,14205.60000000894,10
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,3,64997.60000014305,0.0,26017.200000047684,26017.200000047684,1
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,5,45234.39999985695,21008.09999990464,19230.099999904625,-1778.0000000000146,2
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,6,52256.17500001192,24776.25,27479.92500001192,2703.675000011921,3
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,7,58656.83333353996,25709.600000031787,25253.260000125567,-456.339999906222,3
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,8,51350.04999987284,31556.68333331744,19793.366666555405,-11763.316666762033,4
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,9,54413.60000008345,13725.999999940395,36311.625000178814,22585.62500023842,4
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,10,57976.60000002384,24112.24999988079,33864.35000014305,9752.10000026226,5
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,11,53853.74999988079,21497.799999952316,27651.024999916553,6153.224999964237,5
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,12,39287.89999961853,20268.299999713898,19019.599999904633,-1248.6999998092651,6
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,13,43269.10000038147,21387.10000014305,14105.500000357628,-7281.599999785423,6
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,14,39752.15000009537,21142.200000166893,18609.949999928474,-2532.2500002384186,7
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,15,46799.50000047684,18314.900000333786,26378.700000047684,8063.799999713898,7
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,3,13571.999999761581,0.0,8997.799999952316,8997.799999952316,1
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,4,19267.800000071526,14063.912500083447,5203.887499988079,-8860.025000095367,2
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,5,21290.150000214577,4600.825000107288,10214.050000071526,5613.224999964237,2
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,6,27081.411111341582,13949.977777732742,13131.433333608838,-818.5444441239039,3
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,7,31384.13333316644,12685.433333277702,13125.158333281675,439.72500000397366,3
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,8,33441.21000004609,20234.250000047683,13206.959999998411,-7027.290000049274,4
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,9,42851.84000005722,16820.915000104906,20244.079999935628,3423.164999830723,4
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,10,50951.52499989669,25884.825000067554,25066.699999829136,-818.1250002384186,5
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,11,46318.99999940395,21288.299999713898,21701.39999973774,413.10000002384186,5
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,6,32301.4999999851,14459.0,17842.4999999851,3383.499999985099,3
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,7,45489.687500002605,13847.604999998957,23999.322500002756,10151.7175000038,3
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,8,52937.85000000149,23163.875,29773.97500000149,6610.100000001493,4
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,9,49292.4899999965,14193.469999995828,30723.740000001715,16530.270000005887,4
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,10,50796.59999997914,33547.29999998212,17249.29999999702,-16297.999999985099,5
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,11,53100.70000000298,16148.10000000894,30985.5,14837.39999999106,5
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,5,46890.0,28764.0,9397.0,-19367.0,2
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,7,35920.5,15050.5,16640.5,1590.0,3
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,8,38062.25,15944.5,22117.75,6173.25,4
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,9,35548.77777777778,12176.555555555555,17937.333333333332,5760.777777777778,4
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,10,46053.0,30162.625,15890.375,-14272.25,5
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,11,47093.3125,20665.666666666668,20720.895833333336,55.229166666666686,5
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,12,49217.125,27724.25,21492.875,-6231.375,6
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,13,43984.916666666664,19844.166666666668,20758.5,914.3333333333333,6
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,14,43973.5,23735.0,20238.5,-3496.5,7
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,15,55731.666666666664,25371.333333333332,27830.666666666668,2459.3333333333335,7
A3NRIEMOJVVX4A,rec,20-1,20.0,1000.0,3,6400.25,0.0,3394.4999999999995,3394.4999999999995,1
A3NRIEMOJVVX4A,rec,20-1,20.0,1000.0,4,10044.98611111587,5851.141666666088,4193.8444444497845,-1657.2972222163032,2
A3NRIEMOJVVX4A,rec,20-1,20.0,1000.0,5,8622.346666662303,1985.237916659882,4658.787083345582,2673.5491666856997,2
A3NRIEMOJVVX4A,rec,20-1,20.0,1000.0,6,10563.422916665362,5449.956250017586,5113.466666647776,-336.4895833698101,3
A3NRIEMOJVVX4A,rec,20-1,20.0,1000.0,7,15359.824999989942,5000.100000000559,8180.974999994971,3180.8749999944125,3
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,3,34754.099999892525,0.0,25700.87499988079,25700.87499988079,1
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,4,58155.287500015846,36120.133333317164,22035.15416669869,-14084.979166618472,2
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,5,59049.32500014361,7083.95000002347,19115.900000072084,12031.950000048615,2
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,6,60416.56666666642,35773.90000000037,24642.666666666046,-11131.233333334327,3
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,7,74523.09999999963,30450.89999992773,36761.25,6310.350000072271,3
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,7,36482.0,17537.0,13232.0,-4305.0,3
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,8,43502.5,25350.25,18152.25,-7198.0,4
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,9,50786.666666666664,24331.5,23095.5,-1236.0,4
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,10,46366.58333333333,24631.625,21734.958333333332,-2896.666666666667,5
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,11,55452.5,18575.541666666668,32259.041666666664,13683.5,5
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,12,52709.375,27224.0,25485.375,-1738.625,6
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,13,57259.3125,20003.625,29190.375,9186.75,6
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,14,59063.75,25492.0,33571.75,8079.75,7
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,4,31010.299999952316,26709.299999952316,4301.0,-22408.299999952316,2
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,6,49989.50000126349,20164.933334080502,29824.566667182993,9659.633333102489,3
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,7,41727.016663730145,9251.399999817211,24816.549997627735,15565.149997810524,3
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,8,56076.55625038745,26133.893749529147,29942.662500858307,3808.7687513291603,4
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,9,57720.5500001437,23093.36250014277,28426.737499809824,5333.374999667052,4
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,10,54639.986667787845,28694.89166688941,25945.095000898433,-2749.796665990974,5
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,11,59332.416666666664,16346.766667239057,33791.31666603064,17444.54999879158,5
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,12,62028.01250064373,32895.48750033975,29132.525000303984,-3762.962500035763,6
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,14,73922.10000002384,34956.799999952316,38965.300000071526,4008.5000001192093,7
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,15,67472.89999961853,23264.60000228882,35439.79999732971,12175.199995040894,7
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,7,20446.79999998957,5742.299999989569,11027.0,5284.700000010431,3
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,8,42429.733333290555,16474.449999970384,25955.28333332017,9480.833333349787,4
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,9,33699.16214284893,8556.684999991718,20453.360952378145,11896.675952386426,4
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,10,35965.37500002771,16335.508333355343,19629.866666672362,3294.35833331702,5
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,11,42215.20166668508,10809.594999988345,27893.38500001741,17083.790000029065,5
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,12,38519.800000071526,15650.300000071526,22869.5,7219.199999928474,6
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,13,45109.89999999106,14542.39999999106,27674.19999999553,13131.80000000447,6
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,3,22523.950000286102,0.0,11677.499999841053,11677.499999841053,1
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,4,15351.550000190735,11441.550000190735,3910.0,-7531.550000190735,2
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,5,20589.293750226498,4891.670833448569,12282.379166841507,7390.708333392939,2
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,6,25061.17777845594,14503.477777798971,10557.700000656974,-3945.777777141995,3
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,7,26070.97777779897,9089.53333346049,14358.655555513169,5269.122222052681,3
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,8,31940.438887861037,11225.899999777475,20714.538888083564,9488.638888306088,4
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,9,35726.30000114441,9629.100001335144,23359.5,13730.399998664856,4
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,10,26312.775000095367,14352.125000476837,11960.64999961853,-2391.475000858307,5
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,11,38443.69999949137,12018.600000063578,22373.43333307902,10354.833333015442,5
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,5,27774.0,4816.0,17939.0,13123.0,2
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,6,24227.222222222223,14160.666666666666,10066.555555555557,-4094.1111111111113,3
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,7,29272.8125,9457.791666666668,16123.541666666666,6665.75,3
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,8,35826.2625,21444.5,14381.7625,-7062.7375,4
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,9,36761.2,11033.05,19019.85,7986.8,4
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,10,40564.5,22576.0,17988.5,-4587.5,5
