subject,strategy,condition,l_length,pres_rate,prop_wrong
A3U2A632YWEX7B,prim,20-2,20.0,2000.0,0.29166666666666663
A3U69MNO1JC7V4,rec,20-2,20.0,2000.0,0.0625
A3UMHUWJKRGKNR,rec,20-2,20.0,2000.0,0.16666666666666666
A3VW5PI9ZX9DOD,ns,20-2,20.0,2000.0,0.5833333333333334
A4HWADFPGP45G,ns,20-2,20.0,2000.0,0.27083333333333337
AFRKVRPZ2RHY8,rec,20-2,20.0,2000.0,0.0
AHZCC2V399WUN,ns,20-2,20.0,2000.0,0.08333333333333333
AJABAPM32ETMN,rec,20-2,20.0,2000.0,0.05555555555555555
AK1EF4NACR1UJ,prim,20-2,20.0,2000.0,0.375
AKIT35WR8HEQ3,prim,20-2,20.0,2000.0,0.14583333333333331
AP9WIQ4P78XLH,rec,20-2,20.0,2000.0,0.0
AR9AU5FY1S3RO,rec,20-2,20.0,2000.0,0.0
AXCDKBG1R43GE,ns,20-2,20.0,2000.0,0.12499999999999999
A102WSFN62OS6I,ns,40-1,40.0,1000.0,0.1111111111111111
A13WTEQ06V3B6D,rec,40-1,40.0,1000.0,0.041666666666666664
A178HXQENEAI65,rec,40-1,40.0,1000.0,0.1875
A1BLHM2IDH7DH4,prim,40-1,40.0,1000.0,0.14583333333333331
A1DJB12ZI46GPX,prim,40-1,40.0,1000.0,0.3541666666666667
A1DZMZTXWOM9MR,rec,40-1,40.0,1000.0,0.020833333333333332
A1EU59VMI8GL4K,rec,40-1,40.0,1000.0,0.020833333333333332
A1F0VEHWK3IAF4,ns,40-1,40.0,1000.0,0.29166666666666663
A1HGWCCIWP7AO0,ns,40-1,40.0,1000.0,0.14646464646464644
A1IL5P5H5VRW0D,prim,40-1,40.0,1000.0,0.1893939393939394
A1J5OW12TRQSOW,ns,40-1,40.0,1000.0,0.125
A1KCSGTT6Y26LH,prim,40-1,40.0,1000.0,0.5
A1RQ8PX7A0CH3C,rec,40-1,40.0,1000.0,0.3958333333333333
A1RY1N37JYUHBU,prim,40-1,40.0,1000.0,0.3055555555555555
A1S54RQW9FDK0X,ns,40-1,40.0,1000.0,0.08333333333333333
A1TG34GJ1WTN0C,prim,40-1,40.0,1000.0,0.3333333333333333
A1UH6A625GF5MD,prim,40-1,40.0,1000.0,0.16666666666666666
A1VHK9OFD7H8ZH,rec,40-1,40.0,1000.0,0.08333333333333333
A1ZLLYRW6GIVC7,rec,40-1,40.0,1000.0,0.0625
A20GJP9C5KC2ZU,ns,40-1,40.0,1000.0,0.26136363636363635
A23W5HVE02LM0E,prim,40-1,40.0,1000.0,0.3333333333333333
A2541C8MY0BYV3,rec,40-1,40.0,1000.0,0.0625
A271830PNYAI2G,rec,40-1,40.0,1000.0,0.05555555555555555
A29JQ7VMQ1HKYP,ns,40-1,40.0,1000.0,0.13068181818181818
A2GUPBBFPPSXYR,prim,40-1,40.0,1000.0,0.0625
A2HRUFTA09371Y,rec,40-1,40.0,1000.0,0.027777777777777776
A2IK3H6MQ1QV6E,rec,40-1,40.0,1000.0,0.041666666666666664
A2L7RTYO4UMYDH,ns,40-1,40.0,1000.0,0.125
A2LI1OIR4BVJRW,prim,40-1,40.0,1000.0,0.08333333333333333
A2NEFRREWF33YP,rec,40-1,40.0,1000.0,0.0
A2P8V5SKYLL5I4,rec,40-1,40.0,1000.0,0.08333333333333333
A2PSU15S8ZI3V5,prim,40-1,40.0,1000.0,0.041666666666666664
A2QUSCZS3RXGXE,ns,40-1,40.0,1000.0,0.06249999999999999
A2TUYGXQ15U6GO,prim,40-1,40.0,1000.0,0.3055555555555555
A2UEVNT8VQD1SA,ns,40-1,40.0,1000.0,0.08333333333333333
A2VR9O234UCT9T,rec,40-1,40.0,1000.0,0.0
A2WCPERU8X385N,prim,40-1,40.0,1000.0,0.22916666666666666
A33GZS6SU4O20M,ns,40-1,40.0,1000.0,0.375
A38I0E8UK53ME5,rec,40-1,40.0,1000.0,0.05555555555555555
A3BZH91MITQA5X,ns,40-1,40.0,1000.0,0.08333333333333333
A3NX66U9RAY2GQ,prim,40-1,40.0,1000.0,0.375
A3O40YLW6MYU8C,prim,40-1,40.0,1000.0,0.3125
A3S2AUQWI7XWT4,prim,40-1,40.0,1000.0,0.29545454545454547
A3SA9LY6RXKFOI,prim,40-1,40.0,1000.0,0.39583333333333337
A3SLT6KVF0NXPH,prim,40-1,40.0,1000.0,0.125
A3TNSJSXI464IT,ns,40-1,40.0,1000.0,0.20833333333333331
A3TUJBPLJGTI5,rec,40-1,40.0,1000.0,0.06249999999999999
A3VL1CBZ3BGQK7,ns,40-1,40.0,1000.0,0.041666666666666664
A47VA451RDBV3,prim,40-1,40.0,1000.0,0.17234848484848483
A92KVBM20ZTU4,rec,40-1,40.0,1000.0,0.13888888888888887
AAF1SJ9FCBF75,rec,40-1,40.0,1000.0,0.0625
AAVFHZA708CSP,ns,40-1,40.0,1000.0,0.2708333333333333
ADL9KYXZGHUFO,ns,40-1,40.0,1000.0,0.20833333333333331
AFLRBB974KS6D,ns,40-1,40.0,1000.0,0.1875
AGB6853RIDWJ8,ns,40-1,40.0,1000.0,0.20833333333333331
AGLFNO1XKM8O8,rec,40-1,40.0,1000.0,0.14583333333333331
AH2C0LKV36ATT,prim,40-1,40.0,1000.0,0.10416666666666666
AKJN72HW14WTR,rec,40-1,40.0,1000.0,0.08333333333333333
AMIQGW2E3WYO4,rec,40-1,40.0,1000.0,0.0625
ANCTZADQC3D75,ns,40-1,40.0,1000.0,0.3333333333333333
AOQKJGXZ8QQD0,prim,40-1,40.0,1000.0,0.25
AP3BTOBN8Y9EJ,rec,40-1,40.0,1000.0,0.08333333333333333
AQSYWZJVVMCGJ,prim,40-1,40.0,1000.0,0.08333333333333333
AR1IWBDA7MC86,rec,40-1,40.0,1000.0,0.0
AR3MFFPQ39IXF,rec,40-1,40.0,1000.0,0.13888888888888887
ARL0T0MU9A65G,prim,40-1,40.0,1000.0,0.2140151515151515
ASVRLMDNQBUD9,rec,40-1,40.0,1000.0,0.020833333333333332
ATRRW34VN38IX,rec,40-1,40.0,1000.0,0.125
AVSVIOR38JDM6,prim,40-1,40.0,1000.0,0.16666666666666666
AW0MG225VXWCN,rec,40-1,40.0,1000.0,0.0
AW4PTI9P13WUB,prim,40-1,40.0,1000.0,0.4375
AXFCUZW85XUK1,ns,40-1,40.0,1000.0,0.23484848484848486
AYF9WH3AQIT86,prim,40-1,40.0,1000.0,0.20833333333333331
