subject,strategy,condition,l_length,pres_rate,prop_wrong
A2TG5ESEOPXAHI,prim,20-1,20.0,1000.0,0.3541666666666667
A2V6E7SGEU0EFD,ns,20-1,20.0,1000.0,0.0
A2VXT33Y2TQPOQ,prim,20-1,20.0,1000.0,0.1515151515151515
A2XDWB9NVYI3LQ,rec,20-1,20.0,1000.0,0.08333333333333333
A3026HLELYNW7U,rec,20-1,20.0,1000.0,0.20833333333333331
A351P2O6QGTCS,rec,20-1,20.0,1000.0,0.027777777777777776
A39R5EBK7W916X,ns,20-1,20.0,1000.0,0.41666666666666663
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,0.22916666666666666
A3EVXSWHYA1PTT,rec,20-1,20.0,1000.0,0.041666666666666664
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,0.2222222222222222
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,0.20833333333333331
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,0.0
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,0.10416666666666666
A3NRIEMOJVVX4A,rec,20-1,20.0,1000.0,0.020833333333333332
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,0.16666666666666666
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,0.22916666666666666
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,0.10416666666666666
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,0.0
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,0.32007575757575757
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,0.125
A50UY1556VDIA,ns,20-1,20.0,1000.0,0.2556818181818182
A7R1OLLU1Z6RA,rec,20-1,20.0,1000.0,0.041666666666666664
AEJU0MCYOQC77,prim,20-1,20.0,1000.0,0.25
AHU3EE2Q05E18,prim,20-1,20.0,1000.0,0.25
AJD90361AJO80,ns,20-1,20.0,1000.0,0.16666666666666666
AK52RXEJKR81A,ns,20-1,20.0,1000.0,0.027777777777777776
AMJAZPJBO936R,prim,20-1,20.0,1000.0,0.0625
AOQZVAH5FSKGE,prim,20-1,20.0,1000.0,0.2708333333333333
AQCJI23U1VBYD,prim,20-1,20.0,1000.0,0.35416666666666663
AQPFTUIJ0PW2N,prim,20-1,20.0,1000.0,0.4444444444444444
AXFCUZ1WQC2WY,ns,20-1,20.0,1000.0,0.13888888888888887
AY7M9MOLNXIIK,ns,20-1,20.0,1000.0,0.4375
AZZA3J049G7R5,rec,20-1,20.0,1000.0,0.125
A102RSV009OCUW,prim,15-2,15.0,2000.0,0.10416666666666666
A11BHGAKU0RIH8,rec,15-2,15.0,2000.0,0.08333333333333333
A13GBA16BNTN1A,rec,15-2,15.0,2000.0,0.10416666666666666
A13THDIE8LTQ11,ns,15-2,15.0,2000.0,0.25
A150QX2OXHGK8P,rec,15-2,15.0,2000.0,0.20833333333333331
A151XA53WYXVD7,prim,15-2,15.0,2000.0,0.2708333333333333
A1618RA11ZOD8Y,rec,15-2,15.0,2000.0,0.14962121212121213
A19X8IA9EKC3XH,ns,15-2,15.0,2000.0,0.06249999999999999
A1CFMY4CEYOM8Y,rec,15-2,15.0,2000.0,0.0625
A1E0K2VGY2684V,ns,15-2,15.0,2000.0,0.3541666666666667
A1NQOR4RQJJDMW,ns,15-2,15.0,2000.0,0.0
A1PZIN8H1VI6SY,prim,15-2,15.0,2000.0,0.4444444444444444
A1QRIZY9WJW3R1,prim,15-2,15.0,2000.0,0.16666666666666666
A1QXJZFA5NVGM3,prim,15-2,15.0,2000.0,0.20833333333333331
A1ROEDVMTO9Y3X,ns,15-2,15.0,2000.0,0.06249999999999999
A1SCF3L6LTFQHF,prim,15-2,15.0,2000.0,0.22916666666666666
A1T7EB1WEDCMXV,ns,15-2,15.0,2000.0,0.0
A1TR2AOKWGQ78A,ns,15-2,15.0,2000.0,0.11363636363636363
A1UOP419O6P55R,prim,15-2,15.0,2000.0,0.25
A1WM3INNDW2776,ns,15-2,15.0,2000.0,0.20833333333333334
A1Z82Y9E6YWY80,ns,15-2,15.0,2000.0,0.4375
A2113B699TVADG,prim,15-2,15.0,2000.0,0.16666666666666666
A219SZBLCCCXN9,prim,15-2,15.0,2000.0,0.35416666666666663
A22GYYJXTS5KBH,ns,15-2,15.0,2000.0,0.2222222222222222
A22Y78RVB8UFTD,ns,15-2,15.0,2000.0,0.08333333333333333
A233LLG8YAXWF,rec,15-2,15.0,2000.0,0.0
