subject,strategy,condition,l_length,pres_rate,rot_7,rot_6,rot_5,rot_4,rot_3,rot_2,rot_1,rot_0
A3I1SGVY37KR4A,ns,20-2,20.0,2000.0,,,9841.833333333332,5288.722222222223,7099.527777777777,6755.083333333333,6737.388888888888,8552.25
A3J5HRXH4F64SP,ns,20-2,20.0,2000.0,,,,,,,,
A3LVLZS8S41ZD7,rec,20-2,20.0,2000.0,,,2581.2625,2266.7708333333335,3400.125,3802.804166666667,7724.854166666666,10590.3125
A3LXARU55PR281,ns,20-2,20.0,2000.0,,,3952.25,3957.822619047619,4410.991666666667,3846.7511904761905,4374.944444444444,3989.482142857143
A3TR3KIRG5PCZ8,prim,20-2,20.0,2000.0,,,2526.1330357142856,2503.6583333333333,2312.53125,2477.6006493506493,2388.9141414141413,3623.3975378787873
A3U2A632YWEX7B,prim,20-2,20.0,2000.0,,,4299.901666673024,4733.390416590373,4594.7116662502285,5651.656726065136,5753.609166908264,4956.989166609446
A3U69MNO1JC7V4,rec,20-2,20.0,2000.0,,,4531.1875,4504.025,3838.066666666667,3682.866666666667,5285.75,5887.5625
A3UMHUWJKRGKNR,rec,20-2,20.0,2000.0,,,5275.917261913324,5973.658501981341,5796.63645832551,5679.635982135736,6239.2811011934555,8070.197123008411
A3VW5PI9ZX9DOD,ns,20-2,20.0,2000.0,,,4022.550757624886,5348.227272763397,4198.706666684151,5576.401136327873,4275.75909092932,4346.400000023842
A4HWADFPGP45G,ns,20-2,20.0,2000.0,,,6433.402857112885,5787.337083356082,5335.0160713933765,6100.06607139217,5524.833273821359,7185.374107140516
AFRKVRPZ2RHY8,rec,20-2,20.0,2000.0,,,2681.695454535159,2119.563636376099,1936.7954545508733,3034.4727272635155,3439.286363639615,11138.715000015498
AHZCC2V399WUN,ns,20-2,20.0,2000.0,,,3513.183333312472,3797.799444430404,3498.36736105548,4863.312291638056,8132.09166666755,3621.552083396249
AJABAPM32ETMN,rec,20-2,20.0,2000.0,,,4466.351010101011,5698.561111111111,4862.0,4559.294444444444,5017.833333333333,5113.287878787879
AK1EF4NACR1UJ,prim,20-2,20.0,2000.0,,,4313.235416644811,4574.823125004768,4208.644791608055,4111.8683035109725,4173.886904828605,3856.2685416599115
AKIT35WR8HEQ3,prim,20-2,20.0,2000.0,,,4801.610138865948,4636.276785722767,5085.485625010077,5684.7975000087645,4829.116071458374,7233.538958337298
AP9WIQ4P78XLH,rec,20-2,20.0,2000.0,,,2010.975000000497,2426.869444444941,2873.6805555558863,5078.833333334162,5860.113194444537,11686.587152777312
AR9AU5FY1S3RO,rec,20-2,20.0,2000.0,,,2772.7804761913917,2821.1849386749673,5308.100198413562,4662.816666665673,6363.275517675685,6439.993571426258
AXCDKBG1R43GE,ns,20-2,20.0,2000.0,,,4792.656899348525,4061.043759019121,4330.77611111203,4469.859722220197,4065.5093750006636,5218.490386910334
A102WSFN62OS6I,ns,40-1,40.0,1000.0,3903.5978835978835,4005.737037037037,3889.7777777777774,3863.560064935065,3571.6279461279464,3879.5601851851848,3648.5037037037036,5217.319805194805
A13WTEQ06V3B6D,rec,40-1,40.0,1000.0,9433.583333333332,2115.6624999996275,4618.521428566426,6454.85000000149,4233.742857145411,4492.542857140835,4063.85000000149,1901.183333337307
A178HXQENEAI65,rec,40-1,40.0,1000.0,3923.1302082999828,3516.4918948181567,3438.9225694462657,3396.8718750029802,3435.2340277665194,3647.387003960212,3353.9129959718575,3647.0149440473597
A1BLHM2IDH7DH4,prim,40-1,40.0,1000.0,4721.103571428572,5066.688888888889,5219.086111111111,4951.520833333333,5583.352380952381,4909.944444444444,5489.538095238096,4644.836309523809
A1DJB12ZI46GPX,prim,40-1,40.0,1000.0,4239.344444444445,4592.510416666667,6285.515972222222,4711.283333333333,5103.975,5896.794444444444,4683.334722222222,4559.613888888889
A1DZMZTXWOM9MR,rec,40-1,40.0,1000.0,3311.9791666666665,3657.1999999998757,4462.891666667225,3985.9833333335505,7669.645833333489,8960.683333333582,10326.844444444194,13403.962500000373
A1EU59VMI8GL4K,rec,40-1,40.0,1000.0,3812.4402777777777,4598.48106060606,4637.968055555555,5305.025252525253,4861.967424242424,5292.372537878788,4660.751704545454,5452.67904040404
A1F0VEHWK3IAF4,ns,40-1,40.0,1000.0,5199.325000047684,3530.6500000059605,4637.400000050664,9403.024999983609,4609.024999976158,7984.274999931455,8456.574999950826,6954.850000046194
A1HGWCCIWP7AO0,ns,40-1,40.0,1000.0,4655.796868716346,5238.968518575032,4453.760101000468,4870.651216912144,4265.0159259205775,4258.413116847695,5820.255454523877,5259.617710376829
A1IL5P5H5VRW0D,prim,40-1,40.0,1000.0,4862.12569444047,4294.698611105482,4330.999999982118,4671.000416678438,4522.943749991804,4187.781666688869,4898.150833334774,5091.925833320866
A1J5OW12TRQSOW,ns,40-1,40.0,1000.0,4030.7333333045244,4334.939583311478,4882.573737344055,4474.026388911323,3936.076190473541,4074.2104545186867,4798.120138881314,7952.604090925239
A1KCSGTT6Y26LH,prim,40-1,40.0,1000.0,3057.8020833333335,2824.1916666666666,3273.1890873015873,3256.6026785714284,3971.5753968253966,3064.982142857143,2899.991666666667,3387.1979166666665
A1RQ8PX7A0CH3C,rec,40-1,40.0,1000.0,3546.683531746032,4898.675,3796.0773809523807,3859.6875,4207.208333333333,4053.7220238095233,3587.057142857143,4291.852083333333
A1RY1N37JYUHBU,prim,40-1,40.0,1000.0,3390.833333389532,4150.232222207388,4265.7174999833105,3327.83492066179,5449.323888887299,4357.3720238052665,5848.759999962647,4683.667777805858
A1S54RQW9FDK0X,ns,40-1,40.0,1000.0,5062.0297619047615,4765.8963293650795,4272.424107142857,4188.708333333334,3768.073214285714,4857.853174603174,4862.615575396825,4708.653273809524
A1TG34GJ1WTN0C,prim,40-1,40.0,1000.0,5442.994444496101,6010.744444529216,5676.42222218381,5647.644444409344,7997.3111111621065,6869.061111105813,5888.482222186194,6357.366666697794
A1UH6A625GF5MD,prim,40-1,40.0,1000.0,4077.158098845599,4239.036931818182,4731.940476190476,4181.769841269842,4174.739312770563,4647.930555555556,3795.7952380952383,4231.975
A1VHK9OFD7H8ZH,rec,40-1,40.0,1000.0,5632.916666666667,4041.5875,5260.416666666667,4272.16369047619,4169.75,6316.041666666666,4507.416666666667,3570.970833333333
A1ZLLYRW6GIVC7,rec,40-1,40.0,1000.0,2572.875,5860.824999999255,1360.5999999940395,1822.9874999970198,2345.35000000149,4949.912500003353,1759.7000000029802,13402.099999999007
A20GJP9C5KC2ZU,ns,40-1,40.0,1000.0,4231.949999854678,4992.508333275715,5154.900000042386,6817.787499934435,5428.593333419164,7121.5066666920975,4978.055000042916,5654.174999880791
A23W5HVE02LM0E,prim,40-1,40.0,1000.0,4601.140773766807,3806.6287499815226,4647.47142857526,3903.428392892224,4700.217023837283,4519.4665178614005,4514.847023814349,3857.627500003576
A2541C8MY0BYV3,rec,40-1,40.0,1000.0,1964.43333333383,2881.2895833338753,7090.541666667661,5270.270238095114,3214.8479166667908,4781.6668831163415,3733.9461309527533,6917.616666667536
A271830PNYAI2G,rec,40-1,40.0,1000.0,1225.4633333329732,2449.4402777781293,4177.5402777786885,1948.157407407459,5515.892592592648,3146.0648148152977,5175.5081481472635,6452.962499999441
A29JQ7VMQ1HKYP,ns,40-1,40.0,1000.0,3997.3153408702124,4025.384246037073,3582.395833346579,5234.751875073649,4025.0087500214577,4423.995833356347,4720.372500031359,6500.96597223315
A2GUPBBFPPSXYR,prim,40-1,40.0,1000.0,4354.5273358585855,5037.901957070707,4605.050505050505,4760.397222222222,5281.517316017316,5103.981313131313,5099.4136994949495,6036.035037878788
A2HRUFTA09371Y,rec,40-1,40.0,1000.0,2583.205656922466,3352.790404266781,2714.997979400134,2721.9033336639404,3727.2715152779015,2916.9177775912817,3983.487407528912,7866.958889155918
A2IK3H6MQ1QV6E,rec,40-1,40.0,1000.0,4681.417196987795,4749.285606048324,4925.318181810957,5087.964772708037,4152.715340906923,6314.378636367213,5342.617045444792,6613.98560603261
A2L7RTYO4UMYDH,ns,40-1,40.0,1000.0,5134.075757575758,5472.571428571428,5058.5,4682.433333333333,6749.992424242424,4601.175,4852.916666666667,5604.982142857143
A2LI1OIR4BVJRW,prim,40-1,40.0,1000.0,5205.143055534363,4955.151111059719,4677.697857083593,5297.786111232969,4746.4218749344345,5706.427291782035,4652.555000005828,4479.746774908371
A2NEFRREWF33YP,rec,40-1,40.0,1000.0,3679.7814393919593,3559.4001893910868,3544.927840908063,3827.4122348483625,3448.9058712145143,4998.3216666682,5406.931818184972,7364.224318183598
A2P8V5SKYLL5I4,rec,40-1,40.0,1000.0,3057.616666588518,4312.927777734068,5533.722222215601,4563.850000010597,4770.875000019868,4140.470555561119,5175.791666666667,7432.986111117733
A2PSU15S8ZI3V5,prim,40-1,40.0,1000.0,4353.402777786293,4670.112694842204,4600.545694496234,4778.095833271742,4501.2141667114365,4285.234166644679,4601.401388883591,4567.761704549102
A2QUSCZS3RXGXE,ns,40-1,40.0,1000.0,3861.121755869899,3662.496956160316,3153.9330897602167,3042.987518943801,3382.030965852015,3555.622821999964,3008.917738121464,2253.027976154507
A2TUYGXQ15U6GO,prim,40-1,40.0,1000.0,4557.6523809523815,4552.304761904762,4421.280423280423,5014.322222222222,4399.733333333334,3763.3333333333335,4383.126984126983,5201.994047619048
A2UEVNT8VQD1SA,ns,40-1,40.0,1000.0,5453.970000000453,5535.092272728919,6553.6910984852275,6325.908333334422,5514.6311868692965,5298.853787879989,6449.884494950514,7264.16541666581
A2VR9O234UCT9T,rec,40-1,40.0,1000.0,2123.292916666476,2554.365000000972,2902.9024999996645,2917.2212499977786,3161.901250001,5793.82583333395,7284.660416666306,5857.264166665783
A2WCPERU8X385N,prim,40-1,40.0,1000.0,5255.448055578602,5474.2252146479605,5510.535957770817,5134.919999989441,4981.1729464090295,5111.563470432201,5127.425858595215,5463.367499971389
A33GZS6SU4O20M,ns,40-1,40.0,1000.0,4384.295138888889,4321.291666666667,3608.934523809524,4049.9499007936506,3708.5734126984125,3890.825,4558.101190476191,4752.055357142857
A38I0E8UK53ME5,rec,40-1,40.0,1000.0,3697.1797619047625,3232.709523809524,3944.8134920634916,4402.37962962963,8026.098544973545,5121.323809523809,13511.975,10000.391666666668
A3BZH91MITQA5X,ns,40-1,40.0,1000.0,6171.606944433847,5890.082142882403,5432.135119055282,5285.529682543637,4873.87654762041,6239.244880941155,5543.446388857895,7116.6463492204275
A3NX66U9RAY2GQ,prim,40-1,40.0,1000.0,2697.058333333333,2412.895833333333,3427.875,3569.766666666667,3003.925,2766.6785714285716,3039.75,3319.522619047619
A3O40YLW6MYU8C,prim,40-1,40.0,1000.0,4919.595833333333,5349.604166666667,5627.10284090909,5691.271825396825,5987.41875,5563.442532467532,5439.182828282829,5459.868055555556
A3S2AUQWI7XWT4,prim,40-1,40.0,1000.0,5558.7,2833.73125,3288.7916666666665,3089.1833333333334,4001.4583333333335,2977.9166666666665,3373.55,3838.5125
A3SA9LY6RXKFOI,prim,40-1,40.0,1000.0,6521.491666666667,8518.025,8001.75,7549.825,7460.075,8539.758333333333,5775.083333333333,8706.083333333334
A3SLT6KVF0NXPH,prim,40-1,40.0,1000.0,4757.722222222223,4975.839781746032,4514.997222222222,4306.032638888889,5002.826388888889,4959.7375,4568.626984126984,4986.945535714286
A3TNSJSXI464IT,ns,40-1,40.0,1000.0,3444.9156250037486,3752.4107638974156,3832.1166071406433,5550.081696432983,4516.91374999759,4051.4048115096734,4488.035119045925,4820.00249999892
A3TUJBPLJGTI5,rec,40-1,40.0,1000.0,1911.5,1355.5,1346.5,1349.0,2473.5,3218.5,5750.5,2123.0
A3VL1CBZ3BGQK7,ns,40-1,40.0,1000.0,2312.427500002086,2647.9337499968706,3074.4837500058115,2907.0124999973923,2716.833333339542,6857.274999996026,6869.691666662693,8067.945833323523
A47VA451RDBV3,prim,40-1,40.0,1000.0,3295.4145833204193,4028.2396428580796,3402.5309523749916,3825.8950396903924,5245.805476187383,3999.067757939654,3684.153125003477,3556.432539664327
A92KVBM20ZTU4,rec,40-1,40.0,1000.0,4064.789259258465,4682.059393926823,5183.143434343314,4713.5247727304695,4534.315387213029,5754.20176768313,5526.83761903672,4811.7340067275845
AAF1SJ9FCBF75,rec,40-1,40.0,1000.0,4052.272916666667,4257.716269841269,5584.944444444444,6935.548611111111,5719.8625,5554.300396825397,7700.041666666666,8408.757638888888
AAVFHZA708CSP,ns,40-1,40.0,1000.0,3338.4851190476193,5324.8,3463.25,3551.752380952381,3573.3958333333335,3138.675,4033.4,4567.825
ADL9KYXZGHUFO,ns,40-1,40.0,1000.0,3904.75,4365.2,3366.3,3905.5,5237.333333333334,4970.5,3976.6666666666665,5219.166666666667
AFLRBB974KS6D,ns,40-1,40.0,1000.0,3833.7835978301114,3964.490000025431,3886.755555519982,4186.048809653236,3388.4964285833494,3784.2388890054494,3389.491666780199,4335.007777648502
AGB6853RIDWJ8,ns,40-1,40.0,1000.0,3177.1678571466887,4219.696296289011,4030.545833354195,3816.653174609892,3963.0638095160325,4787.997321430062,4027.519047620751,5437.491851879932
AGLFNO1XKM8O8,rec,40-1,40.0,1000.0,3148.22333330693,4639.532500010729,4355.692500019819,3466.5938095048423,4237.459999990836,4136.391666692993,6190.829285715059,5777.0541666504
AH2C0LKV36ATT,prim,40-1,40.0,1000.0,3599.291666666667,3886.4299242424245,4288.627976190476,4118.933333333333,3737.1555555555556,3718.925,4492.716666666667,4364.827380952382
AKJN72HW14WTR,rec,40-1,40.0,1000.0,2358.8958333333335,3001.5416666666665,4395.5,4205.145833333333,3908.3125,3950.875,5433.541666666666,10743.583333333334
AMIQGW2E3WYO4,rec,40-1,40.0,1000.0,3387.6388888888887,3881.8694444444445,3695.125,4539.211904761904,4053.1319444444443,5535.152777777777,7406.3166666666675,9980.4
ANCTZADQC3D75,ns,40-1,40.0,1000.0,3796.7166666666667,4451.475,3940.4791666666665,3642.4375,4481.716666666667,4399.958928571428,4638.35,4587.315277777778
AOQKJGXZ8QQD0,prim,40-1,40.0,1000.0,5945.63436507831,6516.471250009909,5021.216696433777,6996.648015882997,5306.482698410164,5800.766547618363,6258.837857139855,6167.265833326926
AP3BTOBN8Y9EJ,rec,40-1,40.0,1000.0,6274.5504464258265,6193.484999999085,8102.305059519233,6938.541233733489,6640.961855155135,7421.296160700811,7603.0894074771895,10536.882053593547
AQSYWZJVVMCGJ,prim,40-1,40.0,1000.0,3602.8386363636364,3651.789772727273,3851.0795454545455,3696.3722222222223,3628.83428030303,4323.375,3513.59375,3754.804166666667
AR1IWBDA7MC86,rec,40-1,40.0,1000.0,4336.5041666818515,4981.818452393725,5730.395833348235,5183.258333344545,3325.710714290894,6281.752976208216,8028.538690469095,11485.777500002087
AR3MFFPQ39IXF,rec,40-1,40.0,1000.0,4929.106060615091,5211.244242418715,5477.8019444468955,5581.710774408646,5447.363636383685,6431.680370376838,7019.959764290087,8686.731212130098
ARL0T0MU9A65G,prim,40-1,40.0,1000.0,5274.725757575758,5778.519444444444,5038.232638888889,5017.284090909091,5507.537247474747,5185.512626262626,4880.645454545454,5164.895454545454
ASVRLMDNQBUD9,rec,40-1,40.0,1000.0,3520.0233333418764,3243.7499999930465,4078.6266666352744,3903.8366666525603,4500.455000000198,7137.453333321214,6677.038333382706,28651.3750000149
ATRRW34VN38IX,rec,40-1,40.0,1000.0,5675.8083332379665,5846.1050000190735,5294.5200000604,6387.189999922117,7285.454999876022,5590.2450000081735,6895.197777832879,7652.044999980927
AVSVIOR38JDM6,prim,40-1,40.0,1000.0,2621.550000190735,2787.0499999523163,3594.7000000476837,2088.9999997615814,3911.9500000476837,2419.7999999523163,2956.2000000476837,3803.7000000476837
AW0MG225VXWCN,rec,40-1,40.0,1000.0,1873.2287202211364,1883.894642834507,2253.164880942376,4755.131845261014,6492.877083288771,7292.071509754406,10510.698065507508,12816.92053570492
AW4PTI9P13WUB,prim,40-1,40.0,1000.0,4391.65298609328,4967.459126932694,4153.2871626517135,4657.500930790765,5057.076041653752,5064.590714297508,4963.521071449561,4970.134821406433
AXFCUZW85XUK1,ns,40-1,40.0,1000.0,3925.523958327419,4306.009464285913,4197.3374999939,3769.2656250072955,3556.815000010841,4368.546428564581,3504.4447619077705,3618.3708333392005
AYF9WH3AQIT86,prim,40-1,40.0,1000.0,6664.149999976158,5462.2250000834465,5012.737499952316,4832.262499988079,4070.0142857006617,4311.024999856949,4451.799999872844,5987.387500107288
