subject,strategy,condition,l_length,pres_rate,rot_7,rot_6,rot_5,rot_4,rot_3,rot_2,rot_1,rot_0
A26M997VYVK0E6,prim,20-1,20.0,1000.0,,,,1478.6666666666667,1854.3333333333333,2012.5,2855.0,1768.0
A277V4SHQB8JRS,rec,20-1,20.0,1000.0,,,,2236.1267857142857,2678.4791666666665,2910.1410714285716,2752.8958333333335,7913.695833333333
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,,,,4550.545000076294,5019.0499999125805,4778.28333334128,4660.299999833107,5718.550000047684
A2FQVRBXJZQAWT,prim,20-1,20.0,1000.0,,,,3734.416666666667,3099.785714285714,3387.35,4149.476190476191,3489.875
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,,,,3252.7444444720945,3520.109523774329,3312.0438888675635,3590.0208333333335,3326.1899305571405
A2ONILC0LZKG6Y,rec,20-1,20.0,1000.0,,,,2951.779761904762,5009.223214285715,6361.083333333333,8213.020833333334,8946.491071428572
A2QX1SJXQN1NV1,prim,20-1,20.0,1000.0,,,,3582.75,6125.125,5453.892857142857,5225.857142857143,12553.285714285714
A2QY653X9531JP,ns,20-1,20.0,1000.0,,,,4942.003680531185,4826.931398794764,4959.996874930603,5930.507857103858,9886.785000002385
A2RBF3IIJP15IH,rec,20-1,20.0,1000.0,,,,1535.6410750412194,2550.8860416737693,2748.5532467497937,1790.748749994148,2684.205772005957
A2RWLFIP23FZA7,prim,20-1,20.0,1000.0,,,,2526.421022727269,2465.6159821429055,3355.356150793326,3289.295900974219,5693.581637806902
A2SBZCFAVT83GN,rec,20-1,20.0,1000.0,,,,3747.047619047619,4098.476851851851,3884.4329004329006,4482.656385281385,4130.9682539682535
A2SQGKP2REXOTN,prim,20-1,20.0,1000.0,,,,4415.722222222222,4542.041666666667,4675.441666666667,5023.777777777778,5205.583333333333
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,,,,7680.9,8618.285714285714,6584.5,6809.229166666666,7400.333333333333
A2SWQM5X54P1O5,ns,20-1,20.0,1000.0,,,,3131.289583345254,3942.7931818189945,3469.647664157128,4260.984318180969,4790.610227266383
A2TG5ESEOPXAHI,prim,20-1,20.0,1000.0,,,,4557.693750008941,5269.381250005464,3666.485119044426,3710.650595226884,4622.089880975703
A2V6E7SGEU0EFD,ns,20-1,20.0,1000.0,,,,1589.406428571844,1705.2761038930716,2047.9241883132365,2273.2788095229525,4509.517499998531
A2VXT33Y2TQPOQ,prim,20-1,20.0,1000.0,,,,3383.108333333333,3751.385714285714,3470.833333333333,4028.309523809524,4703.723214285714
A2XDWB9NVYI3LQ,rec,20-1,20.0,1000.0,,,,3902.9292207792205,3756.1896103896106,3798.402777777778,4204.827777777778,4383.518506493507
A3026HLELYNW7U,rec,20-1,20.0,1000.0,,,,3832.816666666667,3349.55,4307.216666666667,3760.8055555555557,4583.999107142858
A351P2O6QGTCS,rec,20-1,20.0,1000.0,,,,3314.3024999847016,4740.555092591102,3708.4325396975596,5197.158333328036,9234.682592592528
A39R5EBK7W916X,ns,20-1,20.0,1000.0,,,,6474.070000004769,5998.444285714626,7072.028571426868,6538.2642857228,6893.19714286668
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,,,,4152.627272742716,4173.378571428571,3665.8166666991183,4041.2959595990906,3868.6083333243923
A3EVXSWHYA1PTT,rec,20-1,20.0,1000.0,,,,13651.200000001118,18177.599999999627,15683.400000000373,2797.800000000745,
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,,,,5622.212962958548,4981.3310185339715,5996.906878356581,6659.785555575512,7536.120833327373
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,,,,4733.234791667759,5091.975608771401,4767.590486110084,4354.831458331148,5755.001557524006
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,,,,5956.687499999845,6248.554166665455,7509.3837121222305,7669.579166668313,11574.94999999972
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,,,,4184.8625,3559.625,3640.452380952381,3677.4869047619045,4040.6916666666666
A3NRIEMOJVVX4A,rec,20-1,20.0,1000.0,,,,2142.833333325611,1767.2395833530659,1808.7083333313542,2062.157499979681,2944.6854166680328
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,,,,13436.837500023888,9319.562500071712,8777.133333357051,8924.566666665798,13623.19999995238
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,,,,3661.125,3951.9761904761904,3842.623809523809,3821.195833333333,5203.738095238095
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,,,,7194.262594834181,4754.571666794334,6320.672673029542,5616.55777778219,6131.0740476427645
