subject,condition,l_length,pres_rate,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_36,sp_37,sp_38,sp_39,sp_40
A2M183CETUMR96,10-2,10.0,2000.0,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0625,0.020833333333333332,0.7083333333333334,0.12499999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2MUOD1JHWJ735,10-2,10.0,2000.0,0.020833333333333332,0.0,0.0,0.0,0.14583333333333331,0.3541666666666667,0.22916666666666666,0.10416666666666666,0.10416666666666666,0.020833333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2NXMRPHG86N2T,10-2,10.0,2000.0,0.18749999999999997,0.0,0.041666666666666664,0.0,0.08333333333333333,0.18749999999999997,0.041666666666666664,0.20833333333333331,0.10416666666666666,0.14583333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2PQDK3MLDFXYM,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.020833333333333332,0.20833333333333334,0.6875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2QRJKXTK4JDD8,10-2,10.0,2000.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.10416666666666666,0.29166666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2R970Q1Q2A6DJ,10-2,10.0,2000.0,0.45833333333333337,0.14583333333333331,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2VIKZ73Y5ABHM,10-2,10.0,2000.0,0.27083333333333337,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.08333333333333333,0.33333333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2WYZLG8J526TQ,10-2,10.0,2000.0,0.5416666666666666,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A33X52IN60MSOE,10-2,10.0,2000.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A348NEQKS6VNIB,10-2,10.0,2000.0,0.08333333333333333,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.0625,0.12499999999999999,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A349BBTU7L597J,10-2,10.0,2000.0,0.1875,0.125,0.041666666666666664,0.041666666666666664,0.0,0.020833333333333332,0.0,0.041666666666666664,0.0625,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3C8JI69WPTKWH,10-2,10.0,2000.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.0,0.0,0.22916666666666669,0.25,0.4583333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3CE7DTHIB76UK,10-2,10.0,2000.0,0.35416666666666663,0.125,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.0625,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3G55RJTW3BSGM,10-2,10.0,2000.0,0.0625,0.041666666666666664,0.041666666666666664,0.0625,0.08333333333333333,0.0625,0.125,0.14583333333333334,0.25,0.10416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3GC5Q5CLI4NWZ,10-2,10.0,2000.0,0.875,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3J55BJGV95JKH,10-2,10.0,2000.0,0.020833333333333332,0.0,0.041666666666666664,0.0625,0.4375,0.041666666666666664,0.020833333333333332,0.0,0.0,0.2916666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3MJQ51KN9CMQ4,10-2,10.0,2000.0,0.375,0.10416666666666666,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0625,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3MOL1L9V4BUGH,10-2,10.0,2000.0,0.16666666666666669,0.0,0.0625,0.0,0.020833333333333332,0.0,0.0625,0.041666666666666664,0.20833333333333331,0.18749999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3NAONPCTVT6P1,10-2,10.0,2000.0,0.14583333333333334,0.08333333333333333,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.08333333333333333,0.14583333333333334,0.29166666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3PJY7THMUIR4M,10-2,10.0,2000.0,0.19444444444444445,0.08333333333333333,0.0,0.027777777777777776,0.0,0.027777777777777776,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3VV3MW68CALXS,10-2,10.0,2000.0,0.3541666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A489K1IFOM4JW,10-2,10.0,2000.0,0.5208333333333333,0.14583333333333334,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A49HPQ9P5AHU4,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.125,0.125,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A55MEA9LQASZH,10-2,10.0,2000.0,0.10416666666666666,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.08333333333333333,0.10416666666666666,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5P12YJP805RG,10-2,10.0,2000.0,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.08333333333333333,0.0625,0.20833333333333331,0.22916666666666663,0.14583333333333331,0.10416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5TWD5QD99GZY,10-2,10.0,2000.0,0.10416666666666666,0.0,0.0,0.0,0.0,0.10416666666666666,0.020833333333333332,0.020833333333333332,0.125,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A63UHNWYOV5LE,10-2,10.0,2000.0,0.27777777777777773,0.13888888888888887,0.027777777777777776,0.027777777777777776,0.08333333333333333,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEP8U373W5Q54,10-2,10.0,2000.0,0.7916666666666667,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK2PMO5I7OCEK,10-2,10.0,2000.0,0.625,0.12499999999999999,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKNU5D6QK7M72,10-2,10.0,2000.0,0.5833333333333334,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AO5FQ7GY8DTR8,10-2,10.0,2000.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARIWYNIH12MLF,10-2,10.0,2000.0,0.041666666666666664,0.0625,0.0,0.020833333333333332,0.0,0.0,0.020833333333333332,0.08333333333333333,0.16666666666666666,0.29166666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS4FVWL91C6HR,10-2,10.0,2000.0,0.6666666666666667,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWJKR5GA7BS7V,10-2,10.0,2000.0,0.29166666666666663,0.0625,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.10416666666666666,0.22916666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ69TBTDH7AZS,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.08333333333333333,0.18749999999999997,0.5416666666666667,0.14583333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ8NNCT4AODDN,10-2,10.0,2000.0,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10JXOU89D5RXR,20-1,20.0,1000.0,0.10416666666666666,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0625,0.020833333333333332,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.1875,0.20833333333333331,,,,,,,,,,,,,,,,,,,,
