subject,strategy,condition,l_length,pres_rate,scl
A489K1IFOM4JW,prim,10-2,10.0,2000.0,0.5325000628773526
A49HPQ9P5AHU4,rec,10-2,10.0,2000.0,0.5034789834602795
A55MEA9LQASZH,rec,10-2,10.0,2000.0,0.5354632848538117
A5P12YJP805RG,rec,10-2,10.0,2000.0,0.5075701200052347
A5TWD5QD99GZY,rec,10-2,10.0,2000.0,0.5236392901605456
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,0.5023388409449395
AEP8U373W5Q54,prim,10-2,10.0,2000.0,0.5454641782527885
AK2PMO5I7OCEK,prim,10-2,10.0,2000.0,0.4738894340386703
AKNU5D6QK7M72,prim,10-2,10.0,2000.0,0.5868325597934678
AO5FQ7GY8DTR8,prim,10-2,10.0,2000.0,0.4519800429939985
ARIWYNIH12MLF,rec,10-2,10.0,2000.0,0.5030002693140074
AS4FVWL91C6HR,prim,10-2,10.0,2000.0,0.5491244894817702
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,0.48040050282259433
AZ69TBTDH7AZS,rec,10-2,10.0,2000.0,0.5359059516649349
AZ8NNCT4AODDN,prim,10-2,10.0,2000.0,0.4867057622813235
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,0.570018159246866
A111FTKAAJ5UMC,prim,20-1,20.0,1000.0,0.49535658674216043
A11EZAV2HRYKD5,prim,20-1,20.0,1000.0,0.5209565885873954
A157L6Z8QU3SDE,rec,20-1,20.0,1000.0,0.5138262206456149
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,0.4861164128057059
A17R7WX5B0CKK6,rec,20-1,20.0,1000.0,0.5203635995236622
A17WB66BXX4R0J,prim,20-1,20.0,1000.0,0.5192611459519003
A19QRXLWV5GKXN,rec,20-1,20.0,1000.0,0.4941929856207862
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,0.582984746662638
A1HLDOM6JTYYI2,prim,20-1,20.0,1000.0,0.5016140503214908
A1HR8IRDC07FO9,prim,20-1,20.0,1000.0,0.5192264808161464
A1J6CZ176U6GDT,rec,20-1,20.0,1000.0,0.47556600528476006
A1J9VZ372FV2QZ,rec,20-1,20.0,1000.0,0.49264981691774323
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,0.5483028867226507
A1KH9VI2D0V43B,prim,20-1,20.0,1000.0,0.47027940657508316
A1LJ4WAEDGELVL,rec,20-1,20.0,1000.0,0.5901090392024673
A1OOCYEFLAJD98,ns,20-1,20.0,1000.0,0.5427040901327165
A1OW27AZS122X2,ns,20-1,20.0,1000.0,0.5150578637496255
A1R5JNC2LO6X1S,prim,20-1,20.0,1000.0,0.4886227670121564
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,0.5095031424778911
A1V91Z2CQKMR55,rec,20-1,20.0,1000.0,0.5295082974551065
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,0.5376078055450442
A22UMPYYQBXT0F,rec,20-1,20.0,1000.0,0.49040429390156076
A26M997VYVK0E6,prim,20-1,20.0,1000.0,0.5022326636978296
A277V4SHQB8JRS,rec,20-1,20.0,1000.0,0.5153458409557499
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,0.5697859842776007
A2FQVRBXJZQAWT,prim,20-1,20.0,1000.0,0.4577680549415464
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,0.5357453108470458
A2ONILC0LZKG6Y,rec,20-1,20.0,1000.0,0.583536282646304
A2QX1SJXQN1NV1,prim,20-1,20.0,1000.0,0.5430087345599495
A2QY653X9531JP,ns,20-1,20.0,1000.0,0.4713517446505757
A2RBF3IIJP15IH,rec,20-1,20.0,1000.0,0.4714646585446111
A2RWLFIP23FZA7,prim,20-1,20.0,1000.0,0.5034712556258422
A2SBZCFAVT83GN,rec,20-1,20.0,1000.0,0.5643465556819128
A2SQGKP2REXOTN,prim,20-1,20.0,1000.0,0.521401280039593
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,0.48089675149769584
A2SWQM5X54P1O5,ns,20-1,20.0,1000.0,0.5636325322263349
A2TG5ESEOPXAHI,prim,20-1,20.0,1000.0,0.5005717134719986
A2V6E7SGEU0EFD,ns,20-1,20.0,1000.0,0.5205850805340232
A2VXT33Y2TQPOQ,prim,20-1,20.0,1000.0,0.5282888208412936
A2XDWB9NVYI3LQ,rec,20-1,20.0,1000.0,0.5045250772845038
A3026HLELYNW7U,rec,20-1,20.0,1000.0,0.488531197489555
A351P2O6QGTCS,rec,20-1,20.0,1000.0,0.5134962304018992
A39R5EBK7W916X,ns,20-1,20.0,1000.0,0.504830275573332
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,0.4918267659860705
A3EVXSWHYA1PTT,rec,20-1,20.0,1000.0,0.4897808691034551
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,0.49960487499292733
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,0.501729557321499
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,0.5316952330554255
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,0.5347351876605677
A3NRIEMOJVVX4A,rec,20-1,20.0,1000.0,0.5338398627312724
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,0.6020513297804011
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,0.5269967973441193
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,0.6020017029462823
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,0.557449449375593
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,0.5307815073122087
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,0.5618936997350763
A50UY1556VDIA,ns,20-1,20.0,1000.0,0.554861187325622
A7R1OLLU1Z6RA,rec,20-1,20.0,1000.0,0.5234753258957603
AEJU0MCYOQC77,prim,20-1,20.0,1000.0,0.5263475499553678
AHU3EE2Q05E18,prim,20-1,20.0,1000.0,0.4636897161197537
AJD90361AJO80,ns,20-1,20.0,1000.0,0.5265668828264005
AK52RXEJKR81A,ns,20-1,20.0,1000.0,0.5053538262306757
AMJAZPJBO936R,prim,20-1,20.0,1000.0,0.5129989792681625
AOQZVAH5FSKGE,prim,20-1,20.0,1000.0,0.5135212827529382
AQCJI23U1VBYD,prim,20-1,20.0,1000.0,0.5132065454377089
AQPFTUIJ0PW2N,prim,20-1,20.0,1000.0,0.49359550362870624
AXFCUZ1WQC2WY,ns,20-1,20.0,1000.0,0.49185740220965796
AY7M9MOLNXIIK,ns,20-1,20.0,1000.0,0.48242807947709265
AZZA3J049G7R5,rec,20-1,20.0,1000.0,0.5313932242861426
A102RSV009OCUW,prim,15-2,15.0,2000.0,0.4990442773385122
A11BHGAKU0RIH8,rec,15-2,15.0,2000.0,0.5142557419512539
A13GBA16BNTN1A,rec,15-2,15.0,2000.0,0.49542956889509526
A13THDIE8LTQ11,ns,15-2,15.0,2000.0,0.5405535193520605
A150QX2OXHGK8P,rec,15-2,15.0,2000.0,0.5163033853990278
A151XA53WYXVD7,prim,15-2,15.0,2000.0,0.4992874084936971
A1618RA11ZOD8Y,rec,15-2,15.0,2000.0,0.5408453750083297
A19X8IA9EKC3XH,ns,15-2,15.0,2000.0,0.47130907228502666
A1CFMY4CEYOM8Y,rec,15-2,15.0,2000.0,0.5189318123333226
A1E0K2VGY2684V,ns,15-2,15.0,2000.0,0.510403289399456
A1NQOR4RQJJDMW,ns,15-2,15.0,2000.0,0.5092981760970473
A1PZIN8H1VI6SY,prim,15-2,15.0,2000.0,0.47133695056415187
A1QRIZY9WJW3R1,prim,15-2,15.0,2000.0,0.4875278860544928
