subject,condition,l_length,pres_rate,prim_pfr,middle_pfr,rec_pfr,prim_effect,rec_effect,rec_prim_bias,rec_prim_bias_bool,condition_mu
ARIWYNIH12MLF,10-2,10.0,2000.0,0.12499999999999999,0.0,0.5625,True,True,0.4375,True,prim
AS4FVWL91C6HR,10-2,10.0,2000.0,0.7083333333333334,0.0,0.20833333333333334,True,True,-0.5,False,prim
AWJKR5GA7BS7V,10-2,10.0,2000.0,0.37499999999999994,0.0,0.33333333333333337,True,True,-0.041666666666666574,False,prim
AZ69TBTDH7AZS,10-2,10.0,2000.0,0.0,0.020833333333333332,0.9583333333333334,False,True,0.9583333333333334,True,prim
AZ8NNCT4AODDN,10-2,10.0,2000.0,0.5,0.0,0.125,True,True,-0.375,False,prim
A10JXOU89D5RXR,20-1,20.0,1000.0,0.12499999999999999,0.20833333333333331,0.6458333333333333,False,True,0.5208333333333333,True,rec
A111FTKAAJ5UMC,20-1,20.0,1000.0,0.875,0.0,0.0,True,False,-0.875,False,rec
A11EZAV2HRYKD5,20-1,20.0,1000.0,0.8541666666666666,0.0,0.0,True,False,-0.8541666666666666,False,rec
A157L6Z8QU3SDE,20-1,20.0,1000.0,0.020833333333333332,0.08333333333333333,0.8958333333333334,False,True,0.875,True,rec
A16GIPTDMJAFTK,20-1,20.0,1000.0,0.37499999999999994,0.0,0.45833333333333337,True,True,0.08333333333333343,True,rec
A17R7WX5B0CKK6,20-1,20.0,1000.0,0.020833333333333332,0.041666666666666664,0.7083333333333334,False,True,0.6875,True,rec
A17WB66BXX4R0J,20-1,20.0,1000.0,0.9166666666666667,0.0,0.0,True,False,-0.9166666666666667,False,rec
A19QRXLWV5GKXN,20-1,20.0,1000.0,0.10416666666666666,0.125,0.6666666666666666,False,True,0.5625,True,rec
A1CKIYN01NV9GJ,20-1,20.0,1000.0,0.125,0.49999999999999994,0.375,False,False,0.25,True,rec
A1HLDOM6JTYYI2,20-1,20.0,1000.0,0.8124999999999999,0.041666666666666664,0.10416666666666666,True,True,-0.7083333333333333,False,rec
A1HR8IRDC07FO9,20-1,20.0,1000.0,0.5416666666666666,0.0,0.20833333333333334,True,True,-0.33333333333333326,False,rec
A1J6CZ176U6GDT,20-1,20.0,1000.0,0.020833333333333332,0.0,0.7708333333333334,True,True,0.75,True,rec
A1J9VZ372FV2QZ,20-1,20.0,1000.0,0.08333333333333333,0.12499999999999999,0.5625,False,True,0.4791666666666667,True,rec
A1JI19KPIVNL3Y,20-1,20.0,1000.0,0.4791666666666666,0.041666666666666664,0.4791666666666667,True,True,1.1102230246251565e-16,True,rec
A1KH9VI2D0V43B,20-1,20.0,1000.0,0.7083333333333335,0.0,0.0,True,False,-0.7083333333333335,False,rec
A1LJ4WAEDGELVL,20-1,20.0,1000.0,0.0,0.0,0.9583333333333334,False,True,0.9583333333333334,True,rec
A1OOCYEFLAJD98,20-1,20.0,1000.0,0.0,0.7708333333333334,0.20833333333333331,False,False,0.20833333333333331,True,rec
A1OW27AZS122X2,20-1,20.0,1000.0,0.1875,0.14583333333333334,0.6041666666666666,True,True,0.41666666666666663,True,rec
A1R5JNC2LO6X1S,20-1,20.0,1000.0,0.7291666666666666,0.0,0.020833333333333332,True,True,-0.7083333333333333,False,rec
A1SUTNVLSFPXFK,20-1,20.0,1000.0,0.31249999999999994,0.020833333333333332,0.32386363636363635,True,True,0.011363636363636409,True,rec
A1V91Z2CQKMR55,20-1,20.0,1000.0,0.0,0.16666666666666666,0.7916666666666667,False,True,0.7916666666666667,True,rec
A1YFL5HXPZ7MVV,20-1,20.0,1000.0,0.14583333333333331,0.1875,0.47916666666666663,False,True,0.3333333333333333,True,rec
A22UMPYYQBXT0F,20-1,20.0,1000.0,0.12499999999999999,0.041666666666666664,0.8125,True,True,0.6875,True,rec
A26M997VYVK0E6,20-1,20.0,1000.0,0.9583333333333334,0.020833333333333332,0.0,True,False,-0.9583333333333334,False,rec
A277V4SHQB8JRS,20-1,20.0,1000.0,0.0,0.16666666666666666,0.8125,False,True,0.8125,True,rec
A2E5PV1BHNG67N,20-1,20.0,1000.0,0.33333333333333337,0.0,0.37499999999999994,True,True,0.041666666666666574,True,rec
A2FQVRBXJZQAWT,20-1,20.0,1000.0,0.7916666666666666,0.0,0.0,True,False,-0.7916666666666666,False,rec
A2GM1ZIBRBHBK7,20-1,20.0,1000.0,0.5416666666666666,0.20833333333333331,0.10416666666666666,True,False,-0.4375,False,rec
A2ONILC0LZKG6Y,20-1,20.0,1000.0,0.020833333333333332,0.0,0.9791666666666666,True,True,0.9583333333333333,True,rec
