subject,strategy,condition,l_length,pres_rate,rt
A3I1SGVY37KR4A,ns,20-2,20.0,2000.0,10270.407407407407
A3J5HRXH4F64SP,ns,20-2,20.0,2000.0,3769.9507575757575
A3LVLZS8S41ZD7,rec,20-2,20.0,2000.0,2346.3314393939395
A3LXARU55PR281,ns,20-2,20.0,2000.0,4361.269444444444
A3TR3KIRG5PCZ8,prim,20-2,20.0,2000.0,4753.178787878787
A3U2A632YWEX7B,prim,20-2,20.0,2000.0,2725.4525006294252
A3U69MNO1JC7V4,rec,20-2,20.0,2000.0,4260.735606060606
A3UMHUWJKRGKNR,rec,20-2,20.0,2000.0,3862.4385416306554
A3VW5PI9ZX9DOD,ns,20-2,20.0,2000.0,5960.041666730245
A4HWADFPGP45G,ns,20-2,20.0,2000.0,4653.976363606267
AFRKVRPZ2RHY8,rec,20-2,20.0,2000.0,1676.9791666368644
AHZCC2V399WUN,ns,20-2,20.0,2000.0,4516.280416721738
AJABAPM32ETMN,rec,20-2,20.0,2000.0,4067.383333333333
AK1EF4NACR1UJ,prim,20-2,20.0,2000.0,5789.138571468421
AKIT35WR8HEQ3,prim,20-2,20.0,2000.0,6663.886527757047
AP9WIQ4P78XLH,rec,20-2,20.0,2000.0,1033.1479166690258
AR9AU5FY1S3RO,rec,20-2,20.0,2000.0,1543.3583333417773
AXCDKBG1R43GE,ns,20-2,20.0,2000.0,8708.788409086177
A102WSFN62OS6I,ns,40-1,40.0,1000.0,6454.233333333334
A13WTEQ06V3B6D,rec,40-1,40.0,1000.0,2462.0840909299864
A178HXQENEAI65,rec,40-1,40.0,1000.0,3263.1562500346035
A1BLHM2IDH7DH4,prim,40-1,40.0,1000.0,3832.806818181818
A1DJB12ZI46GPX,prim,40-1,40.0,1000.0,3895.414682539683
A1DZMZTXWOM9MR,rec,40-1,40.0,1000.0,2269.3210227273576
A1EU59VMI8GL4K,rec,40-1,40.0,1000.0,4634.471590909091
A1F0VEHWK3IAF4,ns,40-1,40.0,1000.0,5203.627827395759
A1HGWCCIWP7AO0,ns,40-1,40.0,1000.0,12149.595454985445
A1IL5P5H5VRW0D,prim,40-1,40.0,1000.0,6002.642708347843
A1J5OW12TRQSOW,ns,40-1,40.0,1000.0,4784.138888869435
A1KCSGTT6Y26LH,prim,40-1,40.0,1000.0,11173.923484848485
A1RQ8PX7A0CH3C,rec,40-1,40.0,1000.0,2372.277777777778
A1RY1N37JYUHBU,prim,40-1,40.0,1000.0,5541.498888903195
A1S54RQW9FDK0X,ns,40-1,40.0,1000.0,6347.909090909091
A1TG34GJ1WTN0C,prim,40-1,40.0,1000.0,8209.246249929567
A1UH6A625GF5MD,prim,40-1,40.0,1000.0,5161.216414141414
A1VHK9OFD7H8ZH,rec,40-1,40.0,1000.0,5135.318560606061
A1ZLLYRW6GIVC7,rec,40-1,40.0,1000.0,1378.787424243888
A20GJP9C5KC2ZU,ns,40-1,40.0,1000.0,6646.059722340771
A23W5HVE02LM0E,prim,40-1,40.0,1000.0,6045.899603148774
A2541C8MY0BYV3,rec,40-1,40.0,1000.0,2704.3992424216685
A271830PNYAI2G,rec,40-1,40.0,1000.0,4576.583333333441
A29JQ7VMQ1HKYP,ns,40-1,40.0,1000.0,5885.058295424982
A2GUPBBFPPSXYR,prim,40-1,40.0,1000.0,8536.719696969696
A2HRUFTA09371Y,rec,40-1,40.0,1000.0,1965.600505520599
A2IK3H6MQ1QV6E,rec,40-1,40.0,1000.0,5335.320454541481
A2L7RTYO4UMYDH,ns,40-1,40.0,1000.0,7931.231818181818
A2LI1OIR4BVJRW,prim,40-1,40.0,1000.0,4037.786401601271
A2NEFRREWF33YP,rec,40-1,40.0,1000.0,1215.2500000018238
A2P8V5SKYLL5I4,rec,40-1,40.0,1000.0,2724.5795454423537
A2PSU15S8ZI3V5,prim,40-1,40.0,1000.0,5594.3297349223585
A2QUSCZS3RXGXE,ns,40-1,40.0,1000.0,1940.2434470306741
A2TUYGXQ15U6GO,prim,40-1,40.0,1000.0,2780.952380952381
A2UEVNT8VQD1SA,ns,40-1,40.0,1000.0,4364.891136360646
A2VR9O234UCT9T,rec,40-1,40.0,1000.0,1826.9916666671197
A2WCPERU8X385N,prim,40-1,40.0,1000.0,4099.650000050238
A33GZS6SU4O20M,ns,40-1,40.0,1000.0,2997.1430555555557
A38I0E8UK53ME5,rec,40-1,40.0,1000.0,1548.5055555555555
A3BZH91MITQA5X,ns,40-1,40.0,1000.0,5871.955151477305
A3NX66U9RAY2GQ,prim,40-1,40.0,1000.0,5471.578571428571
A3O40YLW6MYU8C,prim,40-1,40.0,1000.0,3322.380357142857
A3S2AUQWI7XWT4,prim,40-1,40.0,1000.0,11155.311011904761
A3SA9LY6RXKFOI,prim,40-1,40.0,1000.0,4391.436507936508
A3SLT6KVF0NXPH,prim,40-1,40.0,1000.0,6069.810227272727
A3TNSJSXI464IT,ns,40-1,40.0,1000.0,3370.3000000053084
A3TUJBPLJGTI5,rec,40-1,40.0,1000.0,2113.5958333333333
A3VL1CBZ3BGQK7,ns,40-1,40.0,1000.0,2211.7924242572803
A47VA451RDBV3,prim,40-1,40.0,1000.0,9349.161022769456
A92KVBM20ZTU4,rec,40-1,40.0,1000.0,4356.890909095756
AAF1SJ9FCBF75,rec,40-1,40.0,1000.0,1848.276515151515
AAVFHZA708CSP,ns,40-1,40.0,1000.0,3897.227083333333
ADL9KYXZGHUFO,ns,40-1,40.0,1000.0,11172.672222222222
AFLRBB974KS6D,ns,40-1,40.0,1000.0,2576.962670528889
AGB6853RIDWJ8,ns,40-1,40.0,1000.0,4359.005833432966
AGLFNO1XKM8O8,rec,40-1,40.0,1000.0,5349.437121191692
AH2C0LKV36ATT,prim,40-1,40.0,1000.0,6929.881818181819
AKJN72HW14WTR,rec,40-1,40.0,1000.0,2109.159090909091
AMIQGW2E3WYO4,rec,40-1,40.0,1000.0,2700.3386363636364
ANCTZADQC3D75,ns,40-1,40.0,1000.0,4203.90625
AOQKJGXZ8QQD0,prim,40-1,40.0,1000.0,7602.952777761848
AP3BTOBN8Y9EJ,rec,40-1,40.0,1000.0,4111.949356084611
AQSYWZJVVMCGJ,prim,40-1,40.0,1000.0,5713.33446969697
AR1IWBDA7MC86,rec,40-1,40.0,1000.0,1810.422916692371
AR3MFFPQ39IXF,rec,40-1,40.0,1000.0,3812.5772727252856
ARL0T0MU9A65G,prim,40-1,40.0,1000.0,5224.763888888889
ASVRLMDNQBUD9,rec,40-1,40.0,1000.0,2165.447348517902
ATRRW34VN38IX,rec,40-1,40.0,1000.0,8483.979091059078
AVSVIOR38JDM6,prim,40-1,40.0,1000.0,5354.137386395444
AW0MG225VXWCN,rec,40-1,40.0,1000.0,1535.9145832806826
AW4PTI9P13WUB,prim,40-1,40.0,1000.0,3426.2024997100234
AXFCUZW85XUK1,ns,40-1,40.0,1000.0,8318.346974193179
AYF9WH3AQIT86,prim,40-1,40.0,1000.0,4902.399419201482
