subject,strategy,condition,l_length,pres_rate,rt
A17R7WX5B0CKK6,rec,20-1,20.0,1000.0,2726.935902695213
A17WB66BXX4R0J,prim,20-1,20.0,1000.0,7851.473863636364
A19QRXLWV5GKXN,rec,20-1,20.0,1000.0,3804.2465909001007
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,1632.4541667153437
A1HLDOM6JTYYI2,prim,20-1,20.0,1000.0,1821.721590909091
A1HR8IRDC07FO9,prim,20-1,20.0,1000.0,5102.601587301588
A1J6CZ176U6GDT,rec,20-1,20.0,1000.0,2202.6100974369974
A1J9VZ372FV2QZ,rec,20-1,20.0,1000.0,5342.140573639374
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,4910.268750031168
A1KH9VI2D0V43B,prim,20-1,20.0,1000.0,8311.002922077922
A1LJ4WAEDGELVL,rec,20-1,20.0,1000.0,882.2772728008867
A1OOCYEFLAJD98,ns,20-1,20.0,1000.0,3865.4047348425356
A1OW27AZS122X2,ns,20-1,20.0,1000.0,4312.316136370182
A1R5JNC2LO6X1S,prim,20-1,20.0,1000.0,2520.5608585858586
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,4265.208333345254
A1V91Z2CQKMR55,rec,20-1,20.0,1000.0,2405.368560604469
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,3302.2847222478854
A22UMPYYQBXT0F,rec,20-1,20.0,1000.0,1748.3984848497096
A26M997VYVK0E6,prim,20-1,20.0,1000.0,11598.751893939394
A277V4SHQB8JRS,rec,20-1,20.0,1000.0,874.5151515151515
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,7495.11714298044
A2FQVRBXJZQAWT,prim,20-1,20.0,1000.0,2350.0444444444443
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,3401.2197222674135
A2ONILC0LZKG6Y,rec,20-1,20.0,1000.0,2301.041666666667
A2QX1SJXQN1NV1,prim,20-1,20.0,1000.0,3908.625
A2QY653X9531JP,ns,20-1,20.0,1000.0,3852.556874941455
A2RBF3IIJP15IH,rec,20-1,20.0,1000.0,3479.7914016037275
A2RWLFIP23FZA7,prim,20-1,20.0,1000.0,4851.057954543996
A2SBZCFAVT83GN,rec,20-1,20.0,1000.0,1526.75
A2SQGKP2REXOTN,prim,20-1,20.0,1000.0,3395.838383838384
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,3385.8500000000004
A2SWQM5X54P1O5,ns,20-1,20.0,1000.0,2044.8445075575373
A2TG5ESEOPXAHI,prim,20-1,20.0,1000.0,8778.767803045192
A2V6E7SGEU0EFD,ns,20-1,20.0,1000.0,1410.795833337276
A2VXT33Y2TQPOQ,prim,20-1,20.0,1000.0,5022.157954545454
A2XDWB9NVYI3LQ,rec,20-1,20.0,1000.0,3092.4993686868684
A3026HLELYNW7U,rec,20-1,20.0,1000.0,3602.0114267676768
A351P2O6QGTCS,rec,20-1,20.0,1000.0,3442.9191919139234
A39R5EBK7W916X,ns,20-1,20.0,1000.0,8230.370833337307
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,6394.1031249442485
