subject,strategy,condition,l_length,pres_rate,r1_label,rt
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,rt_prim,5743.125000013246
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,rt_prim,3539.1199999590713
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,rt_prim,14188.200000190734
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,rt_prim,4124.136666710036
A2QY653X9531JP,ns,20-1,20.0,1000.0,rt_prim,3104.6888888412054
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,rt_prim,2572.25
A39R5EBK7W916X,ns,20-1,20.0,1000.0,rt_prim,9080.99249999523
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,rt_prim,6862.348928501776
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,rt_prim,6911.564166603486
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,rt_prim,16701.35714288096
A50UY1556VDIA,ns,20-1,20.0,1000.0,rt_prim,6468.665178571428
AJD90361AJO80,ns,20-1,20.0,1000.0,rt_prim,11829.05
AK52RXEJKR81A,ns,20-1,20.0,1000.0,rt_prim,4750.405714416504
AXFCUZ1WQC2WY,ns,20-1,20.0,1000.0,rt_prim,8402.805555555557
AY7M9MOLNXIIK,ns,20-1,20.0,1000.0,rt_prim,4090.3630952380954
A13THDIE8LTQ11,ns,15-2,15.0,2000.0,rt_prim,6039.347499984503
A19X8IA9EKC3XH,ns,15-2,15.0,2000.0,rt_prim,1604.9500000327826
A1E0K2VGY2684V,ns,15-2,15.0,2000.0,rt_prim,12166.002976190477
A1NQOR4RQJJDMW,ns,15-2,15.0,2000.0,rt_prim,2102.7339393802263
A1ROEDVMTO9Y3X,ns,15-2,15.0,2000.0,rt_prim,9985.76020833534
A1T7EB1WEDCMXV,ns,15-2,15.0,2000.0,rt_prim,3509.248571429568
A1TR2AOKWGQ78A,ns,15-2,15.0,2000.0,rt_prim,6470.625
A1WM3INNDW2776,ns,15-2,15.0,2000.0,rt_prim,5143.555555555556
A1Z82Y9E6YWY80,ns,15-2,15.0,2000.0,rt_prim,4169.783333341281
A22GYYJXTS5KBH,ns,15-2,15.0,2000.0,rt_prim,1895.9452380939845
A22Y78RVB8UFTD,ns,15-2,15.0,2000.0,rt_prim,1960.0812500156462
A26MT7KJ7NJLRN,ns,15-2,15.0,2000.0,rt_prim,1621.8749999403954
A2IV3SSVTU90BN,ns,15-2,15.0,2000.0,rt_prim,4109.698333342871
A2PTABUVOUYAH5,ns,15-2,15.0,2000.0,rt_prim,1965.3375000208616
A30NL5N71G2YAU,ns,15-2,15.0,2000.0,rt_prim,6792.15000017484
A31P78W9ZCQXCS,ns,15-2,15.0,2000.0,rt_prim,7143.916666666667
A34HQHGLIW1FYS,ns,15-2,15.0,2000.0,rt_prim,5602.175000029306
A34YNEN8UUI3CD,ns,15-2,15.0,2000.0,rt_prim,1537.4750000056813
A384KX8MUIJSTJ,ns,15-2,15.0,2000.0,rt_prim,5475.0292927207365
A3AWQ3AACIPXM2,ns,15-2,15.0,2000.0,rt_prim,0.0
A3BA2WMGN6KHUU,ns,15-2,15.0,2000.0,rt_prim,11519.42812496128
A3BN69Q9D7RQGR,ns,15-2,15.0,2000.0,rt_prim,1326.375
A3FOKP72T5I4FR,ns,15-2,15.0,2000.0,rt_prim,1412.9208334088326
A3HBB9JT9WVZS4,ns,15-2,15.0,2000.0,rt_prim,3051.0437500178814
A3P52W1SBJUT5N,ns,15-2,15.0,2000.0,rt_prim,4444.15
A3UE8ANAIM7F15,ns,15-2,15.0,2000.0,rt_prim,5350.744583262007
AESZJEZTZEW01,ns,15-2,15.0,2000.0,rt_prim,12213.188888867697
AFZGUWYLC0NG0,ns,15-2,15.0,2000.0,rt_prim,5574.0949405027295
AM65LGXJBTJ0I,ns,15-2,15.0,2000.0,rt_prim,1717.8546537177215
AW2UVK63OLFW,ns,15-2,15.0,2000.0,rt_prim,5117.639999985695
A15V9BXNJXZXZX,ns,30-1,30.0,1000.0,rt_prim,4750.883333332953
