condition,l_length,pres_rate,serial_position,pearson_r,p_value
30-1,30.0,1000.0,7,0.043454502523381185,0.7093528943558249
30-1,30.0,1000.0,8,0.1450208997916351,0.2113252272341008
30-1,30.0,1000.0,9,0.07809933841788166,0.5024781501879516
30-1,30.0,1000.0,10,0.031460887342733744,0.7873211263940798
30-1,30.0,1000.0,11,0.2051042735509035,0.07550708881411483
30-1,30.0,1000.0,12,0.135776660199772,0.24220981632557986
30-1,30.0,1000.0,13,-0.0142478601940642,0.9027742243035983
30-1,30.0,1000.0,14,-0.05495884776515443,0.6372578728344317
30-1,30.0,1000.0,15,0.15605786290991958,0.17823878833230855
30-1,30.0,1000.0,16,-0.055135384186748945,0.6361752544845081
30-1,30.0,1000.0,17,0.03366603880825078,0.7728022199003209
30-1,30.0,1000.0,18,0.07869243523458049,0.49922855949847533
30-1,30.0,1000.0,19,0.2038096199866527,0.07741090877330892
30-1,30.0,1000.0,20,-0.05596922262016261,0.6310720137547634
30-1,30.0,1000.0,21,-0.014138031167302934,0.9035200822615473
30-1,30.0,1000.0,22,0.10103719672175414,0.3851485318014523
30-1,30.0,1000.0,23,-0.1617809719594583,0.16264947960606427
30-1,30.0,1000.0,24,-0.07503975944584707,0.5194140944810303
30-1,30.0,1000.0,25,-0.01979418030999662,0.8652316391711111
30-1,30.0,1000.0,26,0.270726088510192,0.01801179806883806
30-1,30.0,1000.0,27,0.4258155353579785,0.00012561513214364058
30-1,30.0,1000.0,28,0.6939570333842275,3.646771457460961e-12
30-1,30.0,1000.0,29,0.6554861992398807,1.314911820100141e-10
30-1,30.0,1000.0,30,0.5059861487411732,3.1199957353899503e-06
20-2,20.0,2000.0,1,0.3569562927864129,0.001668450583535572
20-2,20.0,2000.0,2,-0.08908865774041552,0.4472037740348973
20-2,20.0,2000.0,3,-0.12494228914433753,0.2854979253125367
20-2,20.0,2000.0,4,-0.1027745668542852,0.3802525011492961
20-2,20.0,2000.0,5,-0.20834525520845845,0.07285184695816367
20-2,20.0,2000.0,6,-0.0015410761543488312,0.9895304956001134
20-2,20.0,2000.0,7,-0.19743818679869846,0.08952592118073296
20-2,20.0,2000.0,8,-0.07515030807828312,0.521654780137082
20-2,20.0,2000.0,9,0.009671144604541684,0.9343686051559182
20-2,20.0,2000.0,10,-0.16977529694592655,0.1453382435687345
20-2,20.0,2000.0,11,-0.1057005757105724,0.3667643463649269
20-2,20.0,2000.0,12,-0.1216172635253777,0.29861383451785795
20-2,20.0,2000.0,13,-0.04451071738815188,0.7045484516659312
20-2,20.0,2000.0,14,-0.2876028011333838,0.012349939855360023
20-2,20.0,2000.0,15,-0.1618613663481236,0.16532462318194324
20-2,20.0,2000.0,16,-0.012896605903739988,0.9125548895007737
20-2,20.0,2000.0,17,0.1786350432762268,0.12517644352988067
20-2,20.0,2000.0,18,0.3569413180233075,0.0016692563220647358
20-2,20.0,2000.0,19,0.5609538017710037,1.6534774469926165e-07
20-2,20.0,2000.0,20,0.6112928602928392,5.706955334148933e-09
40-1,40.0,1000.0,1,0.356069327973099,0.0019897520051403313
40-1,40.0,1000.0,2,0.3331219507014338,0.00397912528249629
40-1,40.0,1000.0,3,0.051816521574229,0.6632924554552935
40-1,40.0,1000.0,4,0.15820958607114752,0.18127181641969217
40-1,40.0,1000.0,5,0.006608669338668303,0.9557476827987731
40-1,40.0,1000.0,6,-0.11566827437275302,0.32981396649188305
40-1,40.0,1000.0,7,0.042083444727278124,0.7237047590306275
40-1,40.0,1000.0,8,-0.10593706592402066,0.3723832723824689
40-1,40.0,1000.0,9,-0.030605551147701065,0.7971472677644684
40-1,40.0,1000.0,10,0.20321059761119234,0.08465257814266365
40-1,40.0,1000.0,11,0.10141549030056071,0.3932474135759477
40-1,40.0,1000.0,12,-0.13037294061483012,0.2716018101925293
40-1,40.0,1000.0,13,0.020752386885531937,0.8616557140580057
40-1,40.0,1000.0,14,0.05279615942097032,0.6573213430031938
40-1,40.0,1000.0,15,0.07707917793210375,0.5168792579676648
40-1,40.0,1000.0,16,-0.07194056599942703,0.5452879386961565
40-1,40.0,1000.0,17,-0.09241903051071715,0.4367658449046151
40-1,40.0,1000.0,18,0.06976841376800089,0.5575204642442148
40-1,40.0,1000.0,19,-0.22277921518219612,0.0581644289118642
40-1,40.0,1000.0,20,-0.18888985968062402,0.10949559808690269
40-1,40.0,1000.0,21,0.13547757058997253,0.25311316606242695
40-1,40.0,1000.0,22,-0.11629778612014668,0.32717081825047256
40-1,40.0,1000.0,23,0.1146035934294938,0.33431497848292496
40-1,40.0,1000.0,24,-0.03722890529935044,0.7545068717388266
40-1,40.0,1000.0,25,-0.1116605552143391,0.34695737219479567
40-1,40.0,1000.0,26,-0.013182591255389658,0.9118598901986055
40-1,40.0,1000.0,27,0.08195450720585515,0.49063775659853165
40-1,40.0,1000.0,28,-0.022634838082142575,0.8492475767003522
40-1,40.0,1000.0,29,-0.10658331818291639,0.3694570900308176
40-1,40.0,1000.0,30,0.1736872351200711,0.14167928337540464
40-1,40.0,1000.0,31,0.07217248906820589,0.5439896041491158
40-1,40.0,1000.0,32,-0.020697973357019398,0.8620148921347133
40-1,40.0,1000.0,33,-0.1241674433238366,0.29526874078305954
40-1,40.0,1000.0,34,0.08779411417295827,0.46015335957296166
40-1,40.0,1000.0,35,0.2422147170056401,0.03895924262231926
40-1,40.0,1000.0,36,0.37659909825675963,0.0010237123023702265
40-1,40.0,1000.0,37,0.6590171653522512,2.3182280815498707e-10
40-1,40.0,1000.0,38,0.8077108779855392,5.927629946271525e-18
40-1,40.0,1000.0,39,0.7359059705488086,1.198580325428123e-13
40-1,40.0,1000.0,40,0.5682205985066006,1.5751053500321507e-07
