subject,strategy,condition,l_length,pres_rate,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_36,sp_37,sp_38,sp_39,sp_40
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,0.5,0.625,0.625,0.45833333333333337,0.41666666666666663,0.375,0.41666666666666663,0.5416666666666666,0.45833333333333337,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1NG504QI5LI62,prim,10-2,10.0,2000.0,0.7083333333333334,0.6041666666666666,0.6875,0.6875,0.7291666666666666,0.6041666666666667,0.75,0.6666666666666667,0.7083333333333334,0.7708333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1NQ2A0UDW719R,prim,10-2,10.0,2000.0,0.3125,0.3333333333333333,0.2708333333333333,0.3541666666666667,0.3125,0.25,0.2708333333333333,0.3958333333333333,0.4583333333333333,0.41666666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1P00XZZG7EEEM,prim,10-2,10.0,2000.0,0.375,0.3333333333333333,0.45833333333333337,0.3333333333333333,0.45833333333333337,0.25,0.3333333333333333,0.375,0.5416666666666667,0.29166666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1RFDB2WUV7QRO,ns,10-2,10.0,2000.0,0.5833333333333334,0.5416666666666667,0.375,0.375,0.41666666666666663,0.375,0.375,0.5833333333333333,0.5833333333333333,0.7083333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1V2H0UF94ATWY,rec,10-2,10.0,2000.0,0.4375,0.4166666666666667,0.3541666666666667,0.4583333333333333,0.5208333333333334,0.5833333333333333,0.6458333333333334,0.8541666666666667,0.875,0.9583333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1W7T8V97ZPUH0,prim,10-2,10.0,2000.0,0.47916666666666663,0.5625,0.625,0.5208333333333334,0.625,0.5,0.6458333333333333,0.5208333333333334,0.5625,0.5208333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1WJIRT360P5VB,rec,10-2,10.0,2000.0,0.5,0.45833333333333337,0.47916666666666663,0.4583333333333333,0.5208333333333334,0.5625,0.9166666666666666,0.9166666666666666,0.9791666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1WPGNK8Y65BV3,ns,10-2,10.0,2000.0,0.8125,0.5833333333333333,0.5416666666666666,0.45833333333333337,0.3958333333333333,0.3333333333333333,0.4583333333333333,0.5208333333333333,0.6458333333333334,0.9791666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1XMGLCK09Z0DW,ns,10-2,10.0,2000.0,0.7083333333333333,0.7083333333333334,0.8125,0.7291666666666666,0.6041666666666667,0.7708333333333334,0.7083333333333333,0.7708333333333334,0.6875,0.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
