subject,strategy,condition,l_length,pres_rate,ncr,tr_1,tr_2,tr_3,tr_4,tr_5,tr_6,tr_7,tr_8,tr_9,tr_10,tr_11,tr_12,tr_13,tr_14,tr_15,tr_16,tr_17,tr_18,tr_19,tr_20,tr_21,tr_22,tr_23,tr_24,tr_25,tr_26,tr_27
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,7,3666.1749999998137,1206.0374999996275,1287.0333333333642,5134.849999999744,8809.91249999986,7195.9625000003725,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,8,1329.0972222223256,1974.0750000001863,2311.4333333335303,2651.599999999886,2059.2972222224603,9397.463888888558,7034.538888888898,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,9,1349.0050000000979,1641.4333333330774,2245.0041666665347,1674.9250000000543,3023.341666666597,2569.3750000001164,1956.6708333332247,8669.520833333489,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,10,1095.1812499999069,1186.483333333861,1340.3645833332557,1431.3854166667443,1726.2270833334576,2183.072916666783,1366.1979166667443,6678.812499999961,6659.293749999914,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,2,5236.700000762939,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,3,8091.200000127156,8521.125,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,4,7049.4375,5462.131249785423,8498.556249856949,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,5,6311.700416608652,5124.626666827997,5993.756250063579,9295.870833277702,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,6,5733.488888899486,6668.486111137602,5871.408333381017,5259.588889042537,9146.183333449893,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,7,6171.800000190735,5176.800000190735,25817.10000038147,5697.5,5529.10000038147,2217.1500000953674,,,,,,,,,,,,,,,,,,,,,
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,2,5568.133333382508,,,,,,,,,,,,,,,,,,,,,,,,,,
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,3,5385.083333368103,5243.425000000745,,,,,,,,,,,,,,,,,,,,,,,,,
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,4,4865.591666626434,5941.527777741353,3972.2916666815677,,,,,,,,,,,,,,,,,,,,,,,,
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,5,3208.774999886751,3863.600000053644,3786.800000011921,4457.500000029802,,,,,,,,,,,,,,,,,,,,,,,
A1F0R1MSPTXHHV,ns,10-2,10.0,2000.0,6,3177.7999999523163,4217.099999904633,3701.5,3938.2999999523163,3238.350000143051,,,,,,,,,,,,,,,,,,,,,,
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,5,1104.5,1758.75,1828.75,13368.25,,,,,,,,,,,,,,,,,,,,,,,
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,6,1285.7666666666667,1581.9833333333333,4575.833333333333,4399.083333333333,9969.766666666666,,,,,,,,,,,,,,,,,,,,,,
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,7,1620.0416666666665,1700.1416666666667,2124.45,5318.4416666666675,8847.858333333334,11587.375,,,,,,,,,,,,,,,,,,,,,
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,8,1545.8666666666668,1521.0666666666666,2257.6041666666665,3295.5125,3487.1041666666665,8678.625,20060.145833333332,,,,,,,,,,,,,,,,,,,,
A1GRPIBHW72HDU,rec,10-2,10.0,2000.0,9,1074.888888888889,1353.888888888889,1995.4444444444446,2512.0,2381.0,5949.833333333334,7732.333333333333,21523.166666666668,,,,,,,,,,,,,,,,,,,
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,3,3251.1999999284744,,,,,,,,,,,,,,,,,,,,,,,,,,
A1I9RLJQ0BYN21,prim,10-2,10.0,2000.0,4,2973.141666690509,2830.774999976158,3149.125,,,,,,,,,,,,,,,,,,,,,,,,
