subject,strategy,condition,l_length,pres_rate,rot,irt
A11EZAV2HRYKD5,prim,20-1,20.0,1000.0,-3,4154.580555677414
A157L6Z8QU3SDE,rec,20-1,20.0,1000.0,-3,3197.5619047619048
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,-3,3552.5113636363635
A17R7WX5B0CKK6,rec,20-1,20.0,1000.0,-3,4002.6662499742115
A17WB66BXX4R0J,prim,20-1,20.0,1000.0,-3,5050.311507936508
A19QRXLWV5GKXN,rec,20-1,20.0,1000.0,-3,5397.7040773871295
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,-3,3160.952380918321
A1HLDOM6JTYYI2,prim,20-1,20.0,1000.0,-3,2174.1698863636366
A1HR8IRDC07FO9,prim,20-1,20.0,1000.0,-3,4257.597222222223
A1J6CZ176U6GDT,rec,20-1,20.0,1000.0,-3,4576.078333305807
A1J9VZ372FV2QZ,rec,20-1,20.0,1000.0,-3,4420.822569474578
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,-3,5916.999583333234
A1KH9VI2D0V43B,prim,20-1,20.0,1000.0,-3,4198.411706349207
A1LJ4WAEDGELVL,rec,20-1,20.0,1000.0,-3,1924.9727272987366
A1OOCYEFLAJD98,ns,20-1,20.0,1000.0,-3,2925.324772726812
A1OW27AZS122X2,ns,20-1,20.0,1000.0,-3,4638.774080088004
A1R5JNC2LO6X1S,prim,20-1,20.0,1000.0,-3,3783.8333333333335
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,-3,3975.236904726142
A1V91Z2CQKMR55,rec,20-1,20.0,1000.0,-3,1921.4337500060599
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,-3,4722.4247159118
A22UMPYYQBXT0F,rec,20-1,20.0,1000.0,-3,1787.4074999916056
A26M997VYVK0E6,prim,20-1,20.0,1000.0,-3,1854.3333333333333
A277V4SHQB8JRS,rec,20-1,20.0,1000.0,-3,2678.4791666666665
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,-3,5019.0499999125805
A2FQVRBXJZQAWT,prim,20-1,20.0,1000.0,-3,3099.785714285714
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,-3,3520.109523774329
A2ONILC0LZKG6Y,rec,20-1,20.0,1000.0,-3,5009.223214285715
A2QX1SJXQN1NV1,prim,20-1,20.0,1000.0,-3,6125.125
A2QY653X9531JP,ns,20-1,20.0,1000.0,-3,4826.931398794764
A2RBF3IIJP15IH,rec,20-1,20.0,1000.0,-3,2550.8860416737693
A2RWLFIP23FZA7,prim,20-1,20.0,1000.0,-3,2465.6159821429055
A2SBZCFAVT83GN,rec,20-1,20.0,1000.0,-3,4098.476851851851
A2SQGKP2REXOTN,prim,20-1,20.0,1000.0,-3,4542.041666666667
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,-3,8618.285714285714
A2SWQM5X54P1O5,ns,20-1,20.0,1000.0,-3,3942.7931818189945
A2TG5ESEOPXAHI,prim,20-1,20.0,1000.0,-3,5269.381250005464
A2V6E7SGEU0EFD,ns,20-1,20.0,1000.0,-3,1705.2761038930716
A2VXT33Y2TQPOQ,prim,20-1,20.0,1000.0,-3,3751.385714285714
A2XDWB9NVYI3LQ,rec,20-1,20.0,1000.0,-3,3756.1896103896106
A3026HLELYNW7U,rec,20-1,20.0,1000.0,-3,3349.55
A351P2O6QGTCS,rec,20-1,20.0,1000.0,-3,4740.555092591102
A39R5EBK7W916X,ns,20-1,20.0,1000.0,-3,5998.444285714626
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,-3,4173.378571428571
A3EVXSWHYA1PTT,rec,20-1,20.0,1000.0,-3,18177.599999999627
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,-3,4981.3310185339715
