subject,strategy,condition,l_length,pres_rate,mwr
ARIWYNIH12MLF,rec,10-2,10.0,2000.0,5.375
AS4FVWL91C6HR,prim,10-2,10.0,2000.0,6.916666666666667
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,5.645833333333333
AZ69TBTDH7AZS,rec,10-2,10.0,2000.0,5.000000000000001
AZ8NNCT4AODDN,prim,10-2,10.0,2000.0,5.458333333333334
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,7.104166666666667
A111FTKAAJ5UMC,prim,20-1,20.0,1000.0,10.854166666666668
A11EZAV2HRYKD5,prim,20-1,20.0,1000.0,12.854166666666668
A157L6Z8QU3SDE,rec,20-1,20.0,1000.0,6.6875
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,8.875
A17R7WX5B0CKK6,rec,20-1,20.0,1000.0,11.020833333333334
A17WB66BXX4R0J,prim,20-1,20.0,1000.0,8.916666666666666
A19QRXLWV5GKXN,rec,20-1,20.0,1000.0,7.625
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,5.833333333333334
A1HLDOM6JTYYI2,prim,20-1,20.0,1000.0,7.041666666666667
A1HR8IRDC07FO9,prim,20-1,20.0,1000.0,7.500000000000001
A1J6CZ176U6GDT,rec,20-1,20.0,1000.0,10.395833333333334
A1J9VZ372FV2QZ,rec,20-1,20.0,1000.0,9.145833333333334
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,6.875
A1KH9VI2D0V43B,prim,20-1,20.0,1000.0,9.354166666666666
A1LJ4WAEDGELVL,rec,20-1,20.0,1000.0,7.583333333333334
A1OOCYEFLAJD98,ns,20-1,20.0,1000.0,8.291666666666668
A1OW27AZS122X2,ns,20-1,20.0,1000.0,7.5
A1R5JNC2LO6X1S,prim,20-1,20.0,1000.0,13.729166666666666
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,8.6875
A1V91Z2CQKMR55,rec,20-1,20.0,1000.0,5.625
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,7.5
A22UMPYYQBXT0F,rec,20-1,20.0,1000.0,5.729166666666666
A26M997VYVK0E6,prim,20-1,20.0,1000.0,14.083333333333334
A277V4SHQB8JRS,rec,20-1,20.0,1000.0,11.333333333333334
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,5.291666666666666
A2FQVRBXJZQAWT,prim,20-1,20.0,1000.0,10.083333333333332
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,6.1875
A2ONILC0LZKG6Y,rec,20-1,20.0,1000.0,11.916666666666666
A2QX1SJXQN1NV1,prim,20-1,20.0,1000.0,5.583333333333333
A2QY653X9531JP,ns,20-1,20.0,1000.0,6.625
A2RBF3IIJP15IH,rec,20-1,20.0,1000.0,6.583333333333334
A2RWLFIP23FZA7,prim,20-1,20.0,1000.0,7.625
A2SBZCFAVT83GN,rec,20-1,20.0,1000.0,8.0
A2SQGKP2REXOTN,prim,20-1,20.0,1000.0,5.527777777777778
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,6.041666666666667
A2SWQM5X54P1O5,ns,20-1,20.0,1000.0,8.75
A2TG5ESEOPXAHI,prim,20-1,20.0,1000.0,9.041666666666668
A2V6E7SGEU0EFD,ns,20-1,20.0,1000.0,6.333333333333333
A2VXT33Y2TQPOQ,prim,20-1,20.0,1000.0,9.875
A2XDWB9NVYI3LQ,rec,20-1,20.0,1000.0,7.75
A3026HLELYNW7U,rec,20-1,20.0,1000.0,10.5
A351P2O6QGTCS,rec,20-1,20.0,1000.0,6.972222222222222
A39R5EBK7W916X,ns,20-1,20.0,1000.0,5.958333333333334
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,5.979166666666667
A3EVXSWHYA1PTT,rec,20-1,20.0,1000.0,16.895833333333332
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,8.527777777777777
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,7.291666666666666
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,7.875
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,10.75
A3NRIEMOJVVX4A,rec,20-1,20.0,1000.0,4.875
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,3.9166666666666665
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,10.75
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,9.395833333333334
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,9.708333333333334
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,5.916666666666667
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,7.583333333333334
A50UY1556VDIA,ns,20-1,20.0,1000.0,3.916666666666667
A7R1OLLU1Z6RA,rec,20-1,20.0,1000.0,8.625
AC7CDW53I98JT,prim,20-1,20.0,1000.0,9.229166666666666
AEJU0MCYOQC77,prim,20-1,20.0,1000.0,8.222222222222223
AHU3EE2Q05E18,prim,20-1,20.0,1000.0,7.041666666666667
AJD90361AJO80,ns,20-1,20.0,1000.0,6.770833333333333
AK52RXEJKR81A,ns,20-1,20.0,1000.0,7.833333333333333
AMJAZPJBO936R,prim,20-1,20.0,1000.0,12.979166666666666
AOQZVAH5FSKGE,prim,20-1,20.0,1000.0,6.3125
AQCJI23U1VBYD,prim,20-1,20.0,1000.0,8.729166666666666
AQPFTUIJ0PW2N,prim,20-1,20.0,1000.0,3.7222222222222228
AXFCUZ1WQC2WY,ns,20-1,20.0,1000.0,7.083333333333333
AY7M9MOLNXIIK,ns,20-1,20.0,1000.0,6.104166666666667
AZZA3J049G7R5,rec,20-1,20.0,1000.0,11.291666666666668
A102RSV009OCUW,prim,15-2,15.0,2000.0,9.4375
A11BHGAKU0RIH8,rec,15-2,15.0,2000.0,5.291666666666666
A13GBA16BNTN1A,rec,15-2,15.0,2000.0,6.666666666666667
A13THDIE8LTQ11,ns,15-2,15.0,2000.0,6.000000000000001
A150QX2OXHGK8P,rec,15-2,15.0,2000.0,5.416666666666667
A151XA53WYXVD7,prim,15-2,15.0,2000.0,9.020833333333334
A1618RA11ZOD8Y,rec,15-2,15.0,2000.0,10.812500000000002
A19X8IA9EKC3XH,ns,15-2,15.0,2000.0,9.041666666666668
A1CFMY4CEYOM8Y,rec,15-2,15.0,2000.0,3.6875
A1E0K2VGY2684V,ns,15-2,15.0,2000.0,4.895833333333333
A1NQOR4RQJJDMW,ns,15-2,15.0,2000.0,9.958333333333334
A1PZIN8H1VI6SY,prim,15-2,15.0,2000.0,7.833333333333333
A1QRIZY9WJW3R1,prim,15-2,15.0,2000.0,8.291666666666666
A1QXJZFA5NVGM3,prim,15-2,15.0,2000.0,10.375
