subject,strategy,condition,l_length,pres_rate,mwr
A3VW5PI9ZX9DOD,ns,20-2,20.0,2000.0,6.083333333333333
A4HWADFPGP45G,ns,20-2,20.0,2000.0,8.25
AFRKVRPZ2RHY8,rec,20-2,20.0,2000.0,10.541666666666668
AHZCC2V399WUN,ns,20-2,20.0,2000.0,6.270833333333334
AJABAPM32ETMN,rec,20-2,20.0,2000.0,8.13888888888889
AK1EF4NACR1UJ,prim,20-2,20.0,2000.0,10.583333333333332
AKIT35WR8HEQ3,prim,20-2,20.0,2000.0,6.916666666666667
AP9WIQ4P78XLH,rec,20-2,20.0,2000.0,7.125
AR9AU5FY1S3RO,rec,20-2,20.0,2000.0,8.854166666666666
AXCDKBG1R43GE,ns,20-2,20.0,2000.0,10.0
A102WSFN62OS6I,ns,40-1,40.0,1000.0,13.888888888888888
A13WTEQ06V3B6D,rec,40-1,40.0,1000.0,19.729166666666668
A178HXQENEAI65,rec,40-1,40.0,1000.0,14.895833333333334
A1BLHM2IDH7DH4,prim,40-1,40.0,1000.0,13.854166666666666
A1DJB12ZI46GPX,prim,40-1,40.0,1000.0,9.541666666666666
A1DZMZTXWOM9MR,rec,40-1,40.0,1000.0,6.875
A1EU59VMI8GL4K,rec,40-1,40.0,1000.0,9.520833333333334
A1F0VEHWK3IAF4,ns,40-1,40.0,1000.0,6.458333333333334
A1HGWCCIWP7AO0,ns,40-1,40.0,1000.0,11.222222222222223
A1IL5P5H5VRW0D,prim,40-1,40.0,1000.0,8.270833333333334
A1J5OW12TRQSOW,ns,40-1,40.0,1000.0,13.083333333333332
A1KCSGTT6Y26LH,prim,40-1,40.0,1000.0,10.041666666666668
A1RQ8PX7A0CH3C,rec,40-1,40.0,1000.0,12.5
A1RY1N37JYUHBU,prim,40-1,40.0,1000.0,10.666666666666666
A1S54RQW9FDK0X,ns,40-1,40.0,1000.0,10.833333333333334
A1TG34GJ1WTN0C,prim,40-1,40.0,1000.0,5.958333333333333
A1UH6A625GF5MD,prim,40-1,40.0,1000.0,12.0
A1VHK9OFD7H8ZH,rec,40-1,40.0,1000.0,16.937499999999996
A1ZLLYRW6GIVC7,rec,40-1,40.0,1000.0,5.583333333333333
A20GJP9C5KC2ZU,ns,40-1,40.0,1000.0,8.125
A23W5HVE02LM0E,prim,40-1,40.0,1000.0,12.020833333333334
A2541C8MY0BYV3,rec,40-1,40.0,1000.0,9.583333333333332
A271830PNYAI2G,rec,40-1,40.0,1000.0,9.5
A29JQ7VMQ1HKYP,ns,40-1,40.0,1000.0,11.041666666666666
A2GUPBBFPPSXYR,prim,40-1,40.0,1000.0,12.583333333333334
A2HRUFTA09371Y,rec,40-1,40.0,1000.0,15.527777777777777
A2IK3H6MQ1QV6E,rec,40-1,40.0,1000.0,12.041666666666668
A2L7RTYO4UMYDH,ns,40-1,40.0,1000.0,10.5
A2LI1OIR4BVJRW,prim,40-1,40.0,1000.0,13.958333333333332
A2NEFRREWF33YP,rec,40-1,40.0,1000.0,11.104166666666668
A2P8V5SKYLL5I4,rec,40-1,40.0,1000.0,18.250000000000004
A2PSU15S8ZI3V5,prim,40-1,40.0,1000.0,15.3125
A2QUSCZS3RXGXE,ns,40-1,40.0,1000.0,13.833333333333332
A2TUYGXQ15U6GO,prim,40-1,40.0,1000.0,11.722222222222221
A2UEVNT8VQD1SA,ns,40-1,40.0,1000.0,11.666666666666668
A2VR9O234UCT9T,rec,40-1,40.0,1000.0,7.833333333333334
A2WCPERU8X385N,prim,40-1,40.0,1000.0,11.645833333333332
A33GZS6SU4O20M,ns,40-1,40.0,1000.0,11.395833333333334
A38I0E8UK53ME5,rec,40-1,40.0,1000.0,9.666666666666666
A3BZH91MITQA5X,ns,40-1,40.0,1000.0,14.25
A3NX66U9RAY2GQ,prim,40-1,40.0,1000.0,11.0
A3O40YLW6MYU8C,prim,40-1,40.0,1000.0,11.708333333333334
A3S2AUQWI7XWT4,prim,40-1,40.0,1000.0,15.1875
A3SA9LY6RXKFOI,prim,40-1,40.0,1000.0,7.354166666666667
A3SLT6KVF0NXPH,prim,40-1,40.0,1000.0,12.583333333333332
A3TNSJSXI464IT,ns,40-1,40.0,1000.0,10.833333333333332
A3TUJBPLJGTI5,rec,40-1,40.0,1000.0,6.041666666666667
A3VL1CBZ3BGQK7,ns,40-1,40.0,1000.0,9.416666666666668
A47VA451RDBV3,prim,40-1,40.0,1000.0,13.75
A92KVBM20ZTU4,rec,40-1,40.0,1000.0,12.277777777777777
AAF1SJ9FCBF75,rec,40-1,40.0,1000.0,12.333333333333332
AAVFHZA708CSP,ns,40-1,40.0,1000.0,16.0625
ADL9KYXZGHUFO,ns,40-1,40.0,1000.0,7.875
AFLRBB974KS6D,ns,40-1,40.0,1000.0,16.5
AGB6853RIDWJ8,ns,40-1,40.0,1000.0,10.0
AGLFNO1XKM8O8,rec,40-1,40.0,1000.0,16.375
AH2C0LKV36ATT,prim,40-1,40.0,1000.0,14.270833333333332
AKJN72HW14WTR,rec,40-1,40.0,1000.0,7.4375
AMIQGW2E3WYO4,rec,40-1,40.0,1000.0,7.9375
ANCTZADQC3D75,ns,40-1,40.0,1000.0,15.854166666666666
AOQKJGXZ8QQD0,prim,40-1,40.0,1000.0,8.708333333333332
AP3BTOBN8Y9EJ,rec,40-1,40.0,1000.0,9.375
AQSYWZJVVMCGJ,prim,40-1,40.0,1000.0,11.6875
AR1IWBDA7MC86,rec,40-1,40.0,1000.0,16.1875
AR3MFFPQ39IXF,rec,40-1,40.0,1000.0,12.805555555555557
ARL0T0MU9A65G,prim,40-1,40.0,1000.0,13.6875
ASVRLMDNQBUD9,rec,40-1,40.0,1000.0,7.354166666666666
ATRRW34VN38IX,rec,40-1,40.0,1000.0,9.375
AVSVIOR38JDM6,prim,40-1,40.0,1000.0,21.833333333333332
AW0MG225VXWCN,rec,40-1,40.0,1000.0,11.083333333333334
AW4PTI9P13WUB,prim,40-1,40.0,1000.0,11.1875
AXFCUZW85XUK1,ns,40-1,40.0,1000.0,13.562500000000002
AYF9WH3AQIT86,prim,40-1,40.0,1000.0,7.208333333333333
