subject,strategy,condition,l_length,pres_rate,crp_p1,crp_n1,crp_delta
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,0.4120670995670995,0.18743386243386242,0.22463323713323713
A3NAONPCTVT6P1,rec,10-2,10.0,2000.0,0.3704710144927536,0.30784161490683226,0.06262939958592134
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,0.29248366013071897,0.17985527544351074,0.11262838468720822
A3VV3MW68CALXS,prim,10-2,10.0,2000.0,0.9094155844155845,0.025,0.8844155844155844
A489K1IFOM4JW,prim,10-2,10.0,2000.0,0.8231521739130435,0.0,0.8231521739130435
A49HPQ9P5AHU4,rec,10-2,10.0,2000.0,0.6599999999999999,0.08,0.5800000000000001
A55MEA9LQASZH,rec,10-2,10.0,2000.0,0.5309036658141517,0.0723145780051151,0.4585890878090366
A5P12YJP805RG,rec,10-2,10.0,2000.0,0.4232646834477498,0.15510106788710906,0.2681636155606407
A5TWD5QD99GZY,rec,10-2,10.0,2000.0,0.46442982456140347,0.2507894736842105,0.21364035087719296
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,0.4611111111111111,0.06388888888888888,0.3972222222222222
AEP8U373W5Q54,prim,10-2,10.0,2000.0,0.8904761904761905,0.041666666666666664,0.8488095238095239
AK2PMO5I7OCEK,prim,10-2,10.0,2000.0,0.7159090909090909,0.0875,0.6284090909090909
AKNU5D6QK7M72,prim,10-2,10.0,2000.0,0.7019449362799747,0.0,0.7019449362799747
AO5FQ7GY8DTR8,prim,10-2,10.0,2000.0,1.0,0.0,1.0
ARIWYNIH12MLF,rec,10-2,10.0,2000.0,0.25629177109440265,0.2845655806182122,-0.028273809523809514
AS4FVWL91C6HR,prim,10-2,10.0,2000.0,0.5655103893784235,0.16099443319838058,0.4045159561800429
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,0.5762955182072829,0.0742296918767507,0.5020658263305322
AZ69TBTDH7AZS,rec,10-2,10.0,2000.0,0.7282894736842105,0.12960526315789472,0.5986842105263158
AZ8NNCT4AODDN,prim,10-2,10.0,2000.0,0.7375,0.03333333333333333,0.7041666666666666
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,0.2962733553566354,0.07596041133844841,0.22031294401818696
A111FTKAAJ5UMC,prim,20-1,20.0,1000.0,0.5977123284851105,0.025,0.5727123284851106
A11EZAV2HRYKD5,prim,20-1,20.0,1000.0,0.7895444763271162,0.006097560975609756,0.7834469153515065
A157L6Z8QU3SDE,rec,20-1,20.0,1000.0,0.5035978835978836,0.13234126984126984,0.37125661375661373
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,0.21654238618524332,0.26932888540031397,-0.05278649921507065
A17R7WX5B0CKK6,rec,20-1,20.0,1000.0,0.19808161102278748,0.21675057410351528,-0.01866896308072779
A17WB66BXX4R0J,prim,20-1,20.0,1000.0,0.4592100151310678,0.006578947368421052,0.4526310677626467
A19QRXLWV5GKXN,rec,20-1,20.0,1000.0,0.2799145299145299,0.026709401709401708,0.2532051282051282
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,0.4242424242424242,0.022727272727272728,0.4015151515151515
A1HLDOM6JTYYI2,prim,20-1,20.0,1000.0,0.2805383022774327,0.13127587991718426,0.14926242236024845
A1HR8IRDC07FO9,prim,20-1,20.0,1000.0,0.4238372093023256,0.018206854345165238,0.4056303549571603
A1J6CZ176U6GDT,rec,20-1,20.0,1000.0,0.18776709401709402,0.2795138888888889,-0.09174679487179488
A1J9VZ372FV2QZ,rec,20-1,20.0,1000.0,0.1557259465001203,0.31244730042159663,-0.1567213539214763
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,0.27847222222222223,0.05138888888888889,0.2270833333333333
A1KH9VI2D0V43B,prim,20-1,20.0,1000.0,0.6545335658238884,0.02702702702702703,0.6275065387968614
A1LJ4WAEDGELVL,rec,20-1,20.0,1000.0,0.22708333333333333,0.15833333333333333,0.06875
