subject,condition,l_length,pres_rate,r1_sp,r1_decile,r1_sp_slope,r1_dec_slope
A1618RA11ZOD8Y,15-2,15.0,2000.0,11.718055555555555,7.812037037037038,2.5149999999999997,1.6766666666666665
A19X8IA9EKC3XH,15-2,15.0,2000.0,10.41098484848485,6.940656565656565,0.40227272727272734,0.2681818181818179
A1CFMY4CEYOM8Y,15-2,15.0,2000.0,12.138257575757576,8.092171717171716,-0.32803030303030256,-0.21868686868686843
A1E0K2VGY2684V,15-2,15.0,2000.0,6.565259740259741,4.376839826839827,2.1297402597402595,1.4198268398268399
A1NQOR4RQJJDMW,15-2,15.0,2000.0,7.770833333333332,5.180555555555555,-1.1750000000000003,-0.7833333333333338
A1PZIN8H1VI6SY,15-2,15.0,2000.0,1.5833333333333333,1.0555555555555554,0.8749999999999999,0.5833333333333333
A1QRIZY9WJW3R1,15-2,15.0,2000.0,1.5761363636363637,1.0507575757575758,-0.14681818181818176,-0.09787878787878786
A1QXJZFA5NVGM3,15-2,15.0,2000.0,1.1555555555555554,0.7703703703703704,-0.0888888888888888,-0.059259259259259234
A1ROEDVMTO9Y3X,15-2,15.0,2000.0,8.240151515151513,5.493434343434343,-1.5415151515151515,-1.027676767676767
A1SCF3L6LTFQHF,15-2,15.0,2000.0,1.1111111111111112,0.7407407407407408,0.022222222222222233,0.014814814814814826
A1T7EB1WEDCMXV,15-2,15.0,2000.0,11.0625,7.374999999999998,1.2583333333333333,0.8388888888888882
A1TR2AOKWGQ78A,15-2,15.0,2000.0,4.821212121212121,3.2141414141414137,2.5681818181818183,1.7121212121212113
A1UOP419O6P55R,15-2,15.0,2000.0,1.9749999999999999,1.3166666666666667,1.4,0.9333333333333333
A1WM3INNDW2776,15-2,15.0,2000.0,8.709595959595958,5.806397306397306,0.7727272727272727,0.515151515151515
A1Z82Y9E6YWY80,15-2,15.0,2000.0,9.944444444444445,6.62962962962963,2.677777777777778,1.7851851851851848
A2113B699TVADG,15-2,15.0,2000.0,1.3333333333333335,0.8888888888888888,-0.33333333333333326,-0.2222222222222222
A219SZBLCCCXN9,15-2,15.0,2000.0,3.2850378787878785,2.1900252525252526,0.855681818181818,0.5704545454545453
A22GYYJXTS5KBH,15-2,15.0,2000.0,5.7296296296296285,3.819753086419753,0.016666666666666607,0.011111111111111294
A22Y78RVB8UFTD,15-2,15.0,2000.0,6.954545454545454,4.636363636363637,5.181818181818182,3.454545454545454
A233LLG8YAXWF,15-2,15.0,2000.0,12.9375,8.625,0.2083333333333332,0.13888888888888803
A24GX1OZE6AY04,15-2,15.0,2000.0,11.893939393939394,7.929292929292929,-0.05757575757575726,-0.0383838383838385
A26MT7KJ7NJLRN,15-2,15.0,2000.0,9.087499999999999,6.058333333333334,-1.2283333333333333,-0.8188888888888893
A26T0U2Y6LZOF3,15-2,15.0,2000.0,13.65,9.1,0.3000000000000007,0.1999999999999993
A29J4LL0MQL3AC,15-2,15.0,2000.0,1.5265151515151516,1.0176767676767677,-0.16515151515151516,-0.11010101010101007
A2G4R0GS677RC2,15-2,15.0,2000.0,13.583333333333332,9.055555555555555,-2.166666666666666,-1.4444444444444429
A2IV3SSVTU90BN,15-2,15.0,2000.0,8.0625,5.375,3.125,2.083333333333333
A2KZN3UH5NGC9,15-2,15.0,2000.0,11.520454545454546,7.68030303030303,1.2281818181818185,0.8187878787878787
