subject,strategy,condition,l_length,pres_rate,r1_label,tcl
A30NL5N71G2YAU,ns,15-2,15.0,2000.0,tcl_prim,0.845852556008806
A31P78W9ZCQXCS,ns,15-2,15.0,2000.0,tcl_prim,0.75021440805667
A34HQHGLIW1FYS,ns,15-2,15.0,2000.0,tcl_prim,0.894812289690762
A34YNEN8UUI3CD,ns,15-2,15.0,2000.0,tcl_prim,0.613679462898213
A384KX8MUIJSTJ,ns,15-2,15.0,2000.0,tcl_prim,0.8568635034139408
A3AWQ3AACIPXM2,ns,15-2,15.0,2000.0,tcl_prim,0.9583333333333334
A3BA2WMGN6KHUU,ns,15-2,15.0,2000.0,tcl_prim,0.9183247597310098
A3BN69Q9D7RQGR,ns,15-2,15.0,2000.0,tcl_prim,0.5599910506160506
A3FOKP72T5I4FR,ns,15-2,15.0,2000.0,tcl_prim,0.6913672471708185
A3HBB9JT9WVZS4,ns,15-2,15.0,2000.0,tcl_prim,0.7455215675528175
A3P52W1SBJUT5N,ns,15-2,15.0,2000.0,tcl_prim,0.8142511047979799
A3UE8ANAIM7F15,ns,15-2,15.0,2000.0,tcl_prim,0.8525312232528433
AESZJEZTZEW01,ns,15-2,15.0,2000.0,tcl_prim,0.9418595235782736
AFZGUWYLC0NG0,ns,15-2,15.0,2000.0,tcl_prim,0.7908510085593419
AM65LGXJBTJ0I,ns,15-2,15.0,2000.0,tcl_prim,0.7238120633575178
AW2UVK63OLFW,ns,15-2,15.0,2000.0,tcl_prim,0.692012132350674
A15V9BXNJXZXZX,ns,30-1,30.0,1000.0,tcl_prim,0.6652963389960784
A1AS1H21O9896X,ns,30-1,30.0,1000.0,tcl_prim,0.828484214561511
A1M1E62KXCDNL0,ns,30-1,30.0,1000.0,tcl_prim,0.6050874751810019
A28ZPY6D5AS7GZ,ns,30-1,30.0,1000.0,tcl_prim,0.7931037097035487
A2BUHMLNE3LUU0,ns,30-1,30.0,1000.0,tcl_prim,0.6626121463077984
A2K5AXCSY703CU,ns,30-1,30.0,1000.0,tcl_prim,0.8644937572559139
A2OFVEA8BEJDZN,ns,30-1,30.0,1000.0,tcl_prim,0.8145008135049279
A2P83PY6P7ECM5,ns,30-1,30.0,1000.0,tcl_prim,0.8802287980827112
