subject,strategy,condition,l_length,pres_rate,intrusion,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_36,sp_37,sp_38,sp_39,sp_40
A2R970Q1Q2A6DJ,prim,10-2,10.0,2000.0,0.5,0.0,0.13333333333333333,0.05,0.15000000000000002,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,0.25,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2WYZLG8J526TQ,prim,10-2,10.0,2000.0,0.5,0.0,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A33X52IN60MSOE,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A348NEQKS6VNIB,rec,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A349BBTU7L597J,prim,10-2,10.0,2000.0,0.39285714285714285,0.0,0.0,0.0,0.23214285714285715,0.0625,0.0625,0.125,0.125,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3C8JI69WPTKWH,rec,10-2,10.0,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,0.2,0.1,0.1,0.25,0.0,0.25,0.0,0.0,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3GC5Q5CLI4NWZ,prim,10-2,10.0,2000.0,0.5,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.0,0.16666666666666666,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3MJQ51KN9CMQ4,prim,10-2,10.0,2000.0,0.4375,0.0,0.3125,0.0625,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,0.16666666666666666,0.16666666666666666,0.3055555555555555,0.1111111111111111,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3NAONPCTVT6P1,rec,10-2,10.0,2000.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.125,0.20833333333333331,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
