subject,condition,l_length,pres_rate,sp_1,sp_2,sp_3,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_36,sp_37,sp_38,sp_39,sp_40
A1W7T8V97ZPUH0,10-2,10.0,2000.0,0.4270833333333333,0.14583333333333331,0.041666666666666664,0.10416666666666666,0.07291666666666666,0.041666666666666664,0.03125,0.0,0.09375,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1WJIRT360P5VB,10-2,10.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666667,0.45833333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1WPGNK8Y65BV3,10-2,10.0,2000.0,0.30113636363636365,0.022727272727272728,0.0,0.0,0.022727272727272728,0.020833333333333332,0.0,0.041666666666666664,0.043560606060606064,0.5473484848484849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1XMGLCK09Z0DW,10-2,10.0,2000.0,0.35836038961038963,0.0,0.08969155844155843,0.08969155844155843,0.08969155844155843,0.08116883116883117,0.11647727272727273,0.05397727272727273,0.05844155844155844,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1YA2FCN3KEK36,10-2,10.0,2000.0,0.89375,0.0,0.10625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A20GD3EBBTBYY2,10-2,10.0,2000.0,0.16666666666666669,0.027777777777777776,0.025,0.0,0.0,0.0,0.0,0.05277777777777778,0.15,0.5777777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A24BRTWG07T53Z,10-2,10.0,2000.0,0.7765151515151516,0.09090909090909091,0.020833333333333332,0.020833333333333332,0.0,0.0,0.045454545454545456,0.022727272727272728,0.0,0.022727272727272728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A27QXQ22F9ODSP,10-2,10.0,2000.0,0.6986111111111111,0.17083333333333334,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.10277777777777777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A27T2Z568L69U1,10-2,10.0,2000.0,0.7222222222222222,0.14583333333333331,0.06944444444444443,0.0,0.03125,0.0,0.0,0.03125,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A282UM3NAIM0YO,10-2,10.0,2000.0,0.1125,0.14652777777777776,0.08402777777777778,0.0,0.0,0.0,0.05,0.025,0.1638888888888889,0.4180555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
