subject,strategy,condition,l_length,pres_rate,serial_position,ln_39,ln_38,ln_37,ln_36,ln_35,ln_34,ln_33,ln_32,ln_31,ln_30,ln_29,ln_28,ln_27,ln_26,ln_25,ln_24,ln_23,ln_22,ln_21,ln_20,ln_19,ln_18,ln_17,ln_16,ln_15,ln_14,ln_13,ln_12,ln_11,ln_10,ln_9,ln_8,ln_7,ln_6,ln_5,ln_4,ln_3,ln_2,ln_1,lp_1,lp_2,lp_3,lp_4,lp_5,lp_6,lp_7,lp_8,lp_9,lp_10,lp_11,lp_12,lp_13,lp_14,lp_15,lp_16,lp_17,lp_18,lp_19,lp_20,lp_21,lp_22,lp_23,lp_24,lp_25,lp_26,lp_27,lp_28,lp_29,lp_30,lp_31,lp_32,lp_33,lp_34,lp_35,lp_36,lp_37,lp_38,lp_39
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10416666666666666,0.125,0.041666666666666664,0.05,0.3541666666666667,0.2875,0.13333333333333333,0.1111111111111111,0.14583333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,0.05,0.0,0.0625,0.25,0.6041666666666666,0.0,0.13333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.4,0.35,0.041666666666666664,0.14583333333333331,0.14583333333333331,0.0,0.27777777777777773,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03571428571428571,0.18392857142857144,0.28214285714285714,0.08125,0.041666666666666664,0.0,0.0,0.4375,0.43333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05625,0.08621933621933622,0.07828282828282829,0.050505050505050504,0.060714285714285714,0.025,0.05277777777777778,0.17083333333333334,0.6190476190476191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1969Q0R4Y0E3J,rec,10-2,10.0,2000.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.03571428571428571,0.08571428571428572,0.1599206349206349,0.08402777777777778,0.06696428571428571,0.1423611111111111,0.3354166666666667,0.4458333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8625,0.10833333333333334,0.0625,0.0,0.25,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.7847222222222222,0.07777777777777778,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.16666666666666666,0.875,0.125,0.3333333333333333,0.0,0.0,0.08333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3625,0.1625,0.5,0.36111111111111116,0.5277777777777778,0.0,0.25,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1111111111111111,0.0,0.08333333333333333,0.0,0.875,0.0625,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333333333,0.03125,0.09375,0.0,0.175,0.7875,0.06666666666666667,0.14583333333333334,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04583333333333334,0.0,0.0,0.0,0.0,0.0,0.8541666666666666,0.1181818181818182,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.3333333333333333,0.6666666666666666,0.2763888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05277777777777778,0.0,0.0,0.0,0.0,0.06666666666666667,0.25,0.25,0.9097222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1AKL5YH9NLD2V,ns,10-2,10.0,2000.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4215909090909091,0.022727272727272728,0.2056818181818182,0.14772727272727273,0.2107142857142857,0.0,0.0,0.3333333333333333,0.27777777777777773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44166666666666665,0.19583333333333333,0.2375,0.0,0.0625,0.0,0.0,0.0625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.45833333333333337,0.041666666666666664,0.0,0.375,0.0625,0.0,0.0625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,0.125,0.17142857142857143,0.425,0.05,0.11428571428571428,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,0.1111111111111111,0.5625,0.175,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333333333,0.0,0.16666666666666666,0.25,0.5,0.16666666666666666,0.08333333333333333,0.125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.03571428571428571,0.125,0.05,0.35833333333333334,0.4583333333333333,0.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.047619047619047616,0.125,0.041666666666666664,0.0625,0.27976190476190477,0.3,0.20833333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1ARWNTZHGFG8Y,prim,10-2,10.0,2000.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.0625,0.0,0.0,0.125,0.125,0.125,0.725,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
