subject,strategy,condition,l_length,pres_rate,r1_label,mwr
AY7M9MOLNXIIK,ns,20-1,20.0,1000.0,mwr_prim,6.803571428571429
A13THDIE8LTQ11,ns,15-2,15.0,2000.0,mwr_prim,5.625
A19X8IA9EKC3XH,ns,15-2,15.0,2000.0,mwr_prim,8.5
A1E0K2VGY2684V,ns,15-2,15.0,2000.0,mwr_prim,5.630952380952381
A1NQOR4RQJJDMW,ns,15-2,15.0,2000.0,mwr_prim,10.2995670995671
A1ROEDVMTO9Y3X,ns,15-2,15.0,2000.0,mwr_prim,10.495833333333334
A1T7EB1WEDCMXV,ns,15-2,15.0,2000.0,mwr_prim,9.857142857142858
A1TR2AOKWGQ78A,ns,15-2,15.0,2000.0,mwr_prim,4.839285714285714
A1WM3INNDW2776,ns,15-2,15.0,2000.0,mwr_prim,5.638888888888889
A1Z82Y9E6YWY80,ns,15-2,15.0,2000.0,mwr_prim,6.583333333333333
A22GYYJXTS5KBH,ns,15-2,15.0,2000.0,mwr_prim,7.280952380952381
A22Y78RVB8UFTD,ns,15-2,15.0,2000.0,mwr_prim,7.625
A26MT7KJ7NJLRN,ns,15-2,15.0,2000.0,mwr_prim,6.145833333333333
A2IV3SSVTU90BN,ns,15-2,15.0,2000.0,mwr_prim,8.477777777777778
A2PTABUVOUYAH5,ns,15-2,15.0,2000.0,mwr_prim,7.4375
A30NL5N71G2YAU,ns,15-2,15.0,2000.0,mwr_prim,8.25
A31P78W9ZCQXCS,ns,15-2,15.0,2000.0,mwr_prim,5.56547619047619
A34HQHGLIW1FYS,ns,15-2,15.0,2000.0,mwr_prim,8.833333333333334
A34YNEN8UUI3CD,ns,15-2,15.0,2000.0,mwr_prim,4.6875
A384KX8MUIJSTJ,ns,15-2,15.0,2000.0,mwr_prim,9.007575757575758
A3AWQ3AACIPXM2,ns,15-2,15.0,2000.0,mwr_prim,3.5
A3BA2WMGN6KHUU,ns,15-2,15.0,2000.0,mwr_prim,6.0625
A3BN69Q9D7RQGR,ns,15-2,15.0,2000.0,mwr_prim,7.375
A3FOKP72T5I4FR,ns,15-2,15.0,2000.0,mwr_prim,5.0
A3HBB9JT9WVZS4,ns,15-2,15.0,2000.0,mwr_prim,8.875
A3P52W1SBJUT5N,ns,15-2,15.0,2000.0,mwr_prim,4.1
A3UE8ANAIM7F15,ns,15-2,15.0,2000.0,mwr_prim,6.914285714285715
AESZJEZTZEW01,ns,15-2,15.0,2000.0,mwr_prim,5.222222222222222
AFZGUWYLC0NG0,ns,15-2,15.0,2000.0,mwr_prim,3.779761904761905
AM65LGXJBTJ0I,ns,15-2,15.0,2000.0,mwr_prim,6.112193362193362
AW2UVK63OLFW,ns,15-2,15.0,2000.0,mwr_prim,9.125
A15V9BXNJXZXZX,ns,30-1,30.0,1000.0,mwr_prim,17.291666666666664
A1AS1H21O9896X,ns,30-1,30.0,1000.0,mwr_prim,7.333333333333333
A1M1E62KXCDNL0,ns,30-1,30.0,1000.0,mwr_prim,7.0
A28ZPY6D5AS7GZ,ns,30-1,30.0,1000.0,mwr_prim,6.825396825396825
A2BUHMLNE3LUU0,ns,30-1,30.0,1000.0,mwr_prim,8.0
A2K5AXCSY703CU,ns,30-1,30.0,1000.0,mwr_prim,8.333333333333334
A2OFVEA8BEJDZN,ns,30-1,30.0,1000.0,mwr_prim,7.6855158730158735
A2P83PY6P7ECM5,ns,30-1,30.0,1000.0,mwr_prim,7.611111111111112
A2ROI30AQITC3V,ns,30-1,30.0,1000.0,mwr_prim,9.166666666666666
A2XMRJKCNKLL4E,ns,30-1,30.0,1000.0,mwr_prim,7.729166666666666
A2Y0VM8BAF0RMT,ns,30-1,30.0,1000.0,mwr_prim,12.410714285714285
A31SZFE8M7YK0S,ns,30-1,30.0,1000.0,mwr_prim,8.666666666666666
A389Y151TAJ4XG,ns,30-1,30.0,1000.0,mwr_prim,11.5
A3RVHUY67SVXQV,ns,30-1,30.0,1000.0,mwr_prim,19.778138528138527
A3UCN8EJI08X2P,ns,30-1,30.0,1000.0,mwr_prim,9.375
A7USTT4KU1ZBO,ns,30-1,30.0,1000.0,mwr_prim,5.041666666666667
AB5WBMZGLX57B,ns,30-1,30.0,1000.0,mwr_prim,8.777777777777779
AGILQEFEPEK7N,ns,30-1,30.0,1000.0,mwr_prim,6.016666666666667
