subject,strategy,condition,l_length,pres_rate,tcl
A2R970Q1Q2A6DJ,prim,10-2,10.0,2000.0,0.7892132421150277
A2VIKZ73Y5ABHM,ns,10-2,10.0,2000.0,0.7568797684004157
A2WYZLG8J526TQ,prim,10-2,10.0,2000.0,0.8715744874338623
A33X52IN60MSOE,rec,10-2,10.0,2000.0,0.5182456420068027
A348NEQKS6VNIB,rec,10-2,10.0,2000.0,0.6394218223905723
A349BBTU7L597J,prim,10-2,10.0,2000.0,0.7377303791887124
A3C8JI69WPTKWH,rec,10-2,10.0,2000.0,0.6604804569397204
A3CE7DTHIB76UK,ns,10-2,10.0,2000.0,0.7859801587301587
A3G55RJTW3BSGM,ns,10-2,10.0,2000.0,0.7417390046296296
A3GC5Q5CLI4NWZ,prim,10-2,10.0,2000.0,0.9433764260912698
A3J55BJGV95JKH,ns,10-2,10.0,2000.0,0.8732481812169313
A3MJQ51KN9CMQ4,prim,10-2,10.0,2000.0,0.7173121226078816
A3MOL1L9V4BUGH,ns,10-2,10.0,2000.0,0.7319886502317678
A3NAONPCTVT6P1,rec,10-2,10.0,2000.0,0.789923971324641
A3PJY7THMUIR4M,ns,10-2,10.0,2000.0,0.6449052815570674
A3VV3MW68CALXS,prim,10-2,10.0,2000.0,0.9204624851834674
A489K1IFOM4JW,prim,10-2,10.0,2000.0,0.9034403787556688
A49HPQ9P5AHU4,rec,10-2,10.0,2000.0,0.7321582990835223
A55MEA9LQASZH,rec,10-2,10.0,2000.0,0.7111734377147323
A5P12YJP805RG,rec,10-2,10.0,2000.0,0.7124384979686319
A5TWD5QD99GZY,rec,10-2,10.0,2000.0,0.7176202138841649
A63UHNWYOV5LE,ns,10-2,10.0,2000.0,0.7546373456790123
AEP8U373W5Q54,prim,10-2,10.0,2000.0,0.9568106930272108
AK2PMO5I7OCEK,prim,10-2,10.0,2000.0,0.8786324463813303
AKNU5D6QK7M72,prim,10-2,10.0,2000.0,0.8569484277296777
AO5FQ7GY8DTR8,prim,10-2,10.0,2000.0,0.963298611111111
ARIWYNIH12MLF,rec,10-2,10.0,2000.0,0.7514690157312924
AS4FVWL91C6HR,prim,10-2,10.0,2000.0,0.8499139299027691
AWJKR5GA7BS7V,ns,10-2,10.0,2000.0,0.7468808997715248
AZ69TBTDH7AZS,rec,10-2,10.0,2000.0,0.8202021329365079
AZ8NNCT4AODDN,prim,10-2,10.0,2000.0,0.8693587962962962
A10JXOU89D5RXR,ns,20-1,20.0,1000.0,0.6509498025858502
A111FTKAAJ5UMC,prim,20-1,20.0,1000.0,0.9055230849894321
A11EZAV2HRYKD5,prim,20-1,20.0,1000.0,0.9481621104407243
A157L6Z8QU3SDE,rec,20-1,20.0,1000.0,0.7778400928191574
A16GIPTDMJAFTK,ns,20-1,20.0,1000.0,0.855800210586418
A17R7WX5B0CKK6,rec,20-1,20.0,1000.0,0.8003776078023598
A17WB66BXX4R0J,prim,20-1,20.0,1000.0,0.8903935717332702
A19QRXLWV5GKXN,rec,20-1,20.0,1000.0,0.6867485593599112
A1CKIYN01NV9GJ,ns,20-1,20.0,1000.0,0.774947053081463
A1HLDOM6JTYYI2,prim,20-1,20.0,1000.0,0.699868525824007
A1HR8IRDC07FO9,prim,20-1,20.0,1000.0,0.8310544010970744
A1J6CZ176U6GDT,rec,20-1,20.0,1000.0,0.8085874459762536
A1J9VZ372FV2QZ,rec,20-1,20.0,1000.0,0.7995134044104613
A1JI19KPIVNL3Y,ns,20-1,20.0,1000.0,0.7280660784876143
A1KH9VI2D0V43B,prim,20-1,20.0,1000.0,0.909896384390149
A1LJ4WAEDGELVL,rec,20-1,20.0,1000.0,0.6647472694886035
A1OOCYEFLAJD98,ns,20-1,20.0,1000.0,0.7830659049532062
A1OW27AZS122X2,ns,20-1,20.0,1000.0,0.6683886472999396
A1R5JNC2LO6X1S,prim,20-1,20.0,1000.0,0.9563642229657736
A1SUTNVLSFPXFK,ns,20-1,20.0,1000.0,0.9194791324035189
A1V91Z2CQKMR55,rec,20-1,20.0,1000.0,0.754815669957887
A1YFL5HXPZ7MVV,ns,20-1,20.0,1000.0,0.7326397584139144
A22UMPYYQBXT0F,rec,20-1,20.0,1000.0,0.766618878832694
A26M997VYVK0E6,prim,20-1,20.0,1000.0,0.8954728631143783
A277V4SHQB8JRS,rec,20-1,20.0,1000.0,0.802309449671192
A2E5PV1BHNG67N,ns,20-1,20.0,1000.0,0.7054775384723302
A2FQVRBXJZQAWT,prim,20-1,20.0,1000.0,0.9109396256858334
A2GM1ZIBRBHBK7,ns,20-1,20.0,1000.0,0.8006457217811421
A2ONILC0LZKG6Y,rec,20-1,20.0,1000.0,0.6348659823721019
A2QX1SJXQN1NV1,prim,20-1,20.0,1000.0,0.7419579260268598
A2QY653X9531JP,ns,20-1,20.0,1000.0,0.5648249515132209
A2RBF3IIJP15IH,rec,20-1,20.0,1000.0,0.7537716537380623
A2RWLFIP23FZA7,prim,20-1,20.0,1000.0,0.7695866017796739
A2SBZCFAVT83GN,rec,20-1,20.0,1000.0,0.69393894919356
A2SQGKP2REXOTN,prim,20-1,20.0,1000.0,0.8651376555268416
A2SQTRNQWDLU4F,ns,20-1,20.0,1000.0,0.8349721758118556
A2SWQM5X54P1O5,ns,20-1,20.0,1000.0,0.6824957754498998
A2TG5ESEOPXAHI,prim,20-1,20.0,1000.0,0.9004016444482906
A2V6E7SGEU0EFD,ns,20-1,20.0,1000.0,0.7749316411502927
A2VXT33Y2TQPOQ,prim,20-1,20.0,1000.0,0.9167719780773053
A2XDWB9NVYI3LQ,rec,20-1,20.0,1000.0,0.6879941210633548
A3026HLELYNW7U,rec,20-1,20.0,1000.0,0.7047142804913533
A351P2O6QGTCS,rec,20-1,20.0,1000.0,0.725627907537119
A39R5EBK7W916X,ns,20-1,20.0,1000.0,0.8213332716536499
A3D9PJ37U7LCHE,ns,20-1,20.0,1000.0,0.7255737412388523
A3EVXSWHYA1PTT,rec,20-1,20.0,1000.0,0.8064801676414242
A3GIUDSA1IGTFV,ns,20-1,20.0,1000.0,0.840074966570112
A3HXK0UGS1YDMC,prim,20-1,20.0,1000.0,0.8308284428436995
A3ITZNJQUTIZ4C,rec,20-1,20.0,1000.0,0.6654313921357902
A3MHP4LZ3V88NF,prim,20-1,20.0,1000.0,0.8886756829954379
A3NRIEMOJVVX4A,rec,20-1,20.0,1000.0,0.7582937543886533
A3PEV3KN6F7JRG,ns,20-1,20.0,1000.0,0.6968828992358403
A3QKOYP52HYRH2,rec,20-1,20.0,1000.0,0.696536591704412
A3RFOODI4G4P4K,rec,20-1,20.0,1000.0,0.7699140015040149
A3RHJEMZ4EGY2U,rec,20-1,20.0,1000.0,0.599261712755192
A3S76P3L3USWI1,prim,20-1,20.0,1000.0,0.8337970704353248
A3USPFFWN1G5PF,rec,20-1,20.0,1000.0,0.6681372189364501
A50UY1556VDIA,ns,20-1,20.0,1000.0,0.7752495076801872
A7R1OLLU1Z6RA,rec,20-1,20.0,1000.0,0.7390955371240775
AC7CDW53I98JT,prim,20-1,20.0,1000.0,0.8741281914159347
AEJU0MCYOQC77,prim,20-1,20.0,1000.0,0.839913009503117
AHU3EE2Q05E18,prim,20-1,20.0,1000.0,0.8350069410719777
AJD90361AJO80,ns,20-1,20.0,1000.0,0.678220138119998
AK52RXEJKR81A,ns,20-1,20.0,1000.0,0.8334471260031971
AMJAZPJBO936R,prim,20-1,20.0,1000.0,0.8671720969099918
AOQZVAH5FSKGE,prim,20-1,20.0,1000.0,0.844362115097836
AQCJI23U1VBYD,prim,20-1,20.0,1000.0,0.9125078108420049
AQPFTUIJ0PW2N,prim,20-1,20.0,1000.0,0.7071293679742755
AXFCUZ1WQC2WY,ns,20-1,20.0,1000.0,0.822821267434124
AY7M9MOLNXIIK,ns,20-1,20.0,1000.0,0.7679101527835652
AZZA3J049G7R5,rec,20-1,20.0,1000.0,0.7911332688830587
A102RSV009OCUW,prim,15-2,15.0,2000.0,0.9186464543250878
