subject,strategy,condition,l_length,pres_rate,tcl
A35S8HPY0V445,ns,20-2,20.0,2000.0,0.7076680830345904
A37GOI3N77WX21,ns,20-2,20.0,2000.0,0.6142074570227588
A389UA2GRCJ6,prim,20-2,20.0,2000.0,0.8180227399129492
A3A7XOKH39SYOI,prim,20-2,20.0,2000.0,0.9128021282942334
A3B0CMCBWAND7,rec,20-2,20.0,2000.0,0.7775707917613872
A3C4WGE4SOGM1,ns,20-2,20.0,2000.0,0.8040575097600877
A3CKVVGWBS4NGU,prim,20-2,20.0,2000.0,0.9312874921935111
A3GDVKIN7ZGUG9,rec,20-2,20.0,2000.0,0.6644216808853802
A3HE29W5IDR394,rec,20-2,20.0,2000.0,0.6334308980506858
A3HYH6OVZQ5MIY,ns,20-2,20.0,2000.0,0.8302444978317776
A3I1SGVY37KR4A,ns,20-2,20.0,2000.0,0.7594917568166868
A3J5HRXH4F64SP,ns,20-2,20.0,2000.0,0.6416371479147215
A3LVLZS8S41ZD7,rec,20-2,20.0,2000.0,0.6388234448687777
A3LXARU55PR281,ns,20-2,20.0,2000.0,0.8460332818424519
A3TR3KIRG5PCZ8,prim,20-2,20.0,2000.0,0.852992574087381
A3U2A632YWEX7B,prim,20-2,20.0,2000.0,0.9422784603956463
A3U69MNO1JC7V4,rec,20-2,20.0,2000.0,0.8435031554061997
A3UMHUWJKRGKNR,rec,20-2,20.0,2000.0,0.7260833713605853
A3VW5PI9ZX9DOD,ns,20-2,20.0,2000.0,0.8200235587928253
A4HWADFPGP45G,ns,20-2,20.0,2000.0,0.858401075342132
AFRKVRPZ2RHY8,rec,20-2,20.0,2000.0,0.7011884964573152
AHZCC2V399WUN,ns,20-2,20.0,2000.0,0.8073069373136758
AJABAPM32ETMN,rec,20-2,20.0,2000.0,0.7812130738692388
AK1EF4NACR1UJ,prim,20-2,20.0,2000.0,0.929289778515276
AKIT35WR8HEQ3,prim,20-2,20.0,2000.0,0.8088467401647887
AP9WIQ4P78XLH,rec,20-2,20.0,2000.0,0.6279449477649721
AR9AU5FY1S3RO,rec,20-2,20.0,2000.0,0.7540839764842497
AXCDKBG1R43GE,ns,20-2,20.0,2000.0,0.6939892443073379
A102WSFN62OS6I,ns,40-1,40.0,1000.0,0.8608970702880469
A13WTEQ06V3B6D,rec,40-1,40.0,1000.0,0.7156864531889099
A178HXQENEAI65,rec,40-1,40.0,1000.0,0.9083043357158922
A1BLHM2IDH7DH4,prim,40-1,40.0,1000.0,0.923154864156816
A1DJB12ZI46GPX,prim,40-1,40.0,1000.0,0.8720188705844619
A1DZMZTXWOM9MR,rec,40-1,40.0,1000.0,0.7287970923062562
A1EU59VMI8GL4K,rec,40-1,40.0,1000.0,0.6970786953751759
A1F0VEHWK3IAF4,ns,40-1,40.0,1000.0,0.822860988411155
A1HGWCCIWP7AO0,ns,40-1,40.0,1000.0,0.7833333769238595
A1IL5P5H5VRW0D,prim,40-1,40.0,1000.0,0.8704316722945444
A1J5OW12TRQSOW,ns,40-1,40.0,1000.0,0.7590101763918549
A1KCSGTT6Y26LH,prim,40-1,40.0,1000.0,0.8858637284922508
A1RQ8PX7A0CH3C,rec,40-1,40.0,1000.0,0.6717006502045499
A1RY1N37JYUHBU,prim,40-1,40.0,1000.0,0.8940570976280523
A1S54RQW9FDK0X,ns,40-1,40.0,1000.0,0.7649356115935926
A1TG34GJ1WTN0C,prim,40-1,40.0,1000.0,0.8091669022741848
A1UH6A625GF5MD,prim,40-1,40.0,1000.0,0.8947906964321459
A1VHK9OFD7H8ZH,rec,40-1,40.0,1000.0,0.7843231679339907
A1ZLLYRW6GIVC7,rec,40-1,40.0,1000.0,0.8145138878382658
A20GJP9C5KC2ZU,ns,40-1,40.0,1000.0,0.7757200237259021
A23W5HVE02LM0E,prim,40-1,40.0,1000.0,0.8905603458678091
A2541C8MY0BYV3,rec,40-1,40.0,1000.0,0.7902317595933299
A271830PNYAI2G,rec,40-1,40.0,1000.0,0.5960929981439617
A29JQ7VMQ1HKYP,ns,40-1,40.0,1000.0,0.7262244088393841
A2GUPBBFPPSXYR,prim,40-1,40.0,1000.0,0.9072296199202587
A2HRUFTA09371Y,rec,40-1,40.0,1000.0,0.7067747638356642
A2IK3H6MQ1QV6E,rec,40-1,40.0,1000.0,0.6573535744912088
A2L7RTYO4UMYDH,ns,40-1,40.0,1000.0,0.8745089532700911
A2LI1OIR4BVJRW,prim,40-1,40.0,1000.0,0.9144909175068661
A2NEFRREWF33YP,rec,40-1,40.0,1000.0,0.6376683751072364
A2P8V5SKYLL5I4,rec,40-1,40.0,1000.0,0.7085786318704407
A2PSU15S8ZI3V5,prim,40-1,40.0,1000.0,0.9247609179025134
A2QUSCZS3RXGXE,ns,40-1,40.0,1000.0,0.8719711298831758
A2TUYGXQ15U6GO,prim,40-1,40.0,1000.0,0.910129011284393
A2UEVNT8VQD1SA,ns,40-1,40.0,1000.0,0.6909647190098929
A2VR9O234UCT9T,rec,40-1,40.0,1000.0,0.7569319554572324
A2WCPERU8X385N,prim,40-1,40.0,1000.0,0.8976441879655666
A33GZS6SU4O20M,ns,40-1,40.0,1000.0,0.6927541041322695
A38I0E8UK53ME5,rec,40-1,40.0,1000.0,0.7060447222258229
A3BZH91MITQA5X,ns,40-1,40.0,1000.0,0.8877611544649119
A3NX66U9RAY2GQ,prim,40-1,40.0,1000.0,0.8987252738905677
A3O40YLW6MYU8C,prim,40-1,40.0,1000.0,0.9294052279234387
A3S2AUQWI7XWT4,prim,40-1,40.0,1000.0,0.9494925547816809
A3SA9LY6RXKFOI,prim,40-1,40.0,1000.0,0.8626888138281549
A3SLT6KVF0NXPH,prim,40-1,40.0,1000.0,0.9098436724752669
A3TNSJSXI464IT,ns,40-1,40.0,1000.0,0.7360281847959143
A3TUJBPLJGTI5,rec,40-1,40.0,1000.0,0.8486711468475283
A3VL1CBZ3BGQK7,ns,40-1,40.0,1000.0,0.6431545345890091
A47VA451RDBV3,prim,40-1,40.0,1000.0,0.930215904626783
A92KVBM20ZTU4,rec,40-1,40.0,1000.0,0.7861540362240236
AAF1SJ9FCBF75,rec,40-1,40.0,1000.0,0.6844241415393065
AAVFHZA708CSP,ns,40-1,40.0,1000.0,0.8255140915850478
ADL9KYXZGHUFO,ns,40-1,40.0,1000.0,0.8162969200063339
AFLRBB974KS6D,ns,40-1,40.0,1000.0,0.9222130787926321
AGB6853RIDWJ8,ns,40-1,40.0,1000.0,0.8074765555964802
AGLFNO1XKM8O8,rec,40-1,40.0,1000.0,0.7976778372123361
AH2C0LKV36ATT,prim,40-1,40.0,1000.0,0.9192049230400845
AKJN72HW14WTR,rec,40-1,40.0,1000.0,0.6906702284384991
AMIQGW2E3WYO4,rec,40-1,40.0,1000.0,0.6283090373455551
ANCTZADQC3D75,ns,40-1,40.0,1000.0,0.8991473599098334
AOQKJGXZ8QQD0,prim,40-1,40.0,1000.0,0.8396677961829592
AP3BTOBN8Y9EJ,rec,40-1,40.0,1000.0,0.5884199104717872
AQSYWZJVVMCGJ,prim,40-1,40.0,1000.0,0.9058234521315922
AR1IWBDA7MC86,rec,40-1,40.0,1000.0,0.6599082053003539
AR3MFFPQ39IXF,rec,40-1,40.0,1000.0,0.7490446092353323
ARL0T0MU9A65G,prim,40-1,40.0,1000.0,0.9308527371904691
ASVRLMDNQBUD9,rec,40-1,40.0,1000.0,0.7486908650453593
ATRRW34VN38IX,rec,40-1,40.0,1000.0,0.7842665405126477
AVSVIOR38JDM6,prim,40-1,40.0,1000.0,0.9563401880744358
AW0MG225VXWCN,rec,40-1,40.0,1000.0,0.6808005332407704
AW4PTI9P13WUB,prim,40-1,40.0,1000.0,0.9128611001489103
AXFCUZW85XUK1,ns,40-1,40.0,1000.0,0.7926856519086678
AYF9WH3AQIT86,prim,40-1,40.0,1000.0,0.8742679112819389
