condition,l_length,pres_rate,serial_position,pearson_r,p_value,p_val_fdr
20-2,20.0,2000.0,4,-0.1027745668542852,0.3802525011492961,1.0
20-2,20.0,2000.0,5,-0.2083452552084584,0.0728518469581636,1.0
20-2,20.0,2000.0,6,-0.0015410761543488,0.9895304956001134,1.0
20-2,20.0,2000.0,7,-0.1974381867986984,0.0895259211807329,1.0
20-2,20.0,2000.0,8,-0.0751503080782831,0.521654780137082,1.0
20-2,20.0,2000.0,9,0.0096711446045416,0.9343686051559182,1.0
20-2,20.0,2000.0,10,-0.1697752969459265,0.1453382435687345,1.0
20-2,20.0,2000.0,11,-0.1057005757105724,0.3667643463649269,1.0
20-2,20.0,2000.0,12,-0.1216172635253777,0.2986138345178579,1.0
20-2,20.0,2000.0,13,-0.0445107173881518,0.7045484516659312,1.0
20-2,20.0,2000.0,14,-0.2876028011333838,0.01234993985536,0.3266716079636609
20-2,20.0,2000.0,15,-0.1618613663481236,0.1653246231819432,1.0
20-2,20.0,2000.0,16,-0.0128966059037399,0.9125548895007736,1.0
20-2,20.0,2000.0,17,0.1786350432762268,0.1251764435298806,1.0
20-2,20.0,2000.0,18,0.3569413180233075,0.0016692563220647,0.061815532262208046
20-2,20.0,2000.0,19,0.5609538017710037,1.6534774469926165e-07,1.530780310943819e-05
20-2,20.0,2000.0,20,0.6112928602928392,5.706955334148933e-09,7.044623742799681e-07
40-1,40.0,1000.0,1,0.356069327973099,0.0019897520051403,0.07017529311405195
40-1,40.0,1000.0,2,0.3331219507014338,0.0039791252824962,0.122795075479715
40-1,40.0,1000.0,3,0.051816521574229,0.6632924554552935,1.0
40-1,40.0,1000.0,4,0.1582095860711475,0.1812718164196921,1.0
40-1,40.0,1000.0,5,0.0066086693386683,0.9557476827987732,1.0
40-1,40.0,1000.0,6,-0.115668274372753,0.329813966491883,1.0
40-1,40.0,1000.0,7,0.0420834447272781,0.7237047590306275,1.0
40-1,40.0,1000.0,8,-0.1059370659240206,0.3723832723824689,1.0
40-1,40.0,1000.0,9,-0.030605551147701,0.7971472677644684,1.0
40-1,40.0,1000.0,10,0.2032105976111923,0.0846525781426636,1.0
40-1,40.0,1000.0,11,0.1014154903005607,0.3932474135759477,1.0
40-1,40.0,1000.0,12,-0.1303729406148301,0.2716018101925293,1.0
40-1,40.0,1000.0,13,0.0207523868855319,0.8616557140580057,1.0
40-1,40.0,1000.0,14,0.0527961594209703,0.6573213430031938,1.0
40-1,40.0,1000.0,15,0.0770791779321037,0.5168792579676648,1.0
40-1,40.0,1000.0,16,-0.071940565999427,0.5452879386961565,1.0
40-1,40.0,1000.0,17,-0.0924190305107171,0.4367658449046151,1.0
40-1,40.0,1000.0,18,0.0697684137680008,0.5575204642442148,1.0
40-1,40.0,1000.0,19,-0.2227792151821961,0.0581644289118642,1.0
40-1,40.0,1000.0,20,-0.188889859680624,0.1094955980869026,1.0
40-1,40.0,1000.0,21,0.1354775705899725,0.2531131660624269,1.0
40-1,40.0,1000.0,22,-0.1162977861201466,0.3271708182504725,1.0
40-1,40.0,1000.0,23,0.1146035934294938,0.3343149784829249,1.0
40-1,40.0,1000.0,24,-0.0372289052993504,0.7545068717388266,1.0
40-1,40.0,1000.0,25,-0.1116605552143391,0.3469573721947956,1.0
40-1,40.0,1000.0,26,-0.0131825912553896,0.9118598901986056,1.0
40-1,40.0,1000.0,27,0.0819545072058551,0.4906377565985316,1.0
40-1,40.0,1000.0,28,-0.0226348380821425,0.8492475767003522,1.0
40-1,40.0,1000.0,29,-0.1065833181829163,0.3694570900308176,1.0
40-1,40.0,1000.0,30,0.1736872351200711,0.1416792833754046,1.0
40-1,40.0,1000.0,31,0.0721724890682058,0.5439896041491158,1.0
40-1,40.0,1000.0,32,-0.0206979733570193,0.8620148921347133,1.0
40-1,40.0,1000.0,33,-0.1241674433238366,0.2952687407830595,1.0
40-1,40.0,1000.0,34,0.0877941141729582,0.4601533595729616,1.0
40-1,40.0,1000.0,35,0.2422147170056401,0.0389592426223192,0.8244171927335053
40-1,40.0,1000.0,36,0.3765990982567596,0.0010237123023702,0.04459986868749948
40-1,40.0,1000.0,37,0.6590171653522512,2.3182280815498707e-10,3.433924457783742e-08
40-1,40.0,1000.0,38,0.8077108779855392,5.927629946271526e-18,4.390213717794452e-15
40-1,40.0,1000.0,39,0.7359059705488086,1.198580325428123e-13,4.4385562478329925e-11
40-1,40.0,1000.0,40,0.5682205985066006,1.575105350032151e-07,1.530780310943819e-05
